# NOAA Paleoclimatology Program - Paleocean Site Data
# r657-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Philip P.E. Weaver
# Core/Site:      R657
# Latitude:       42.32.00S	( -42.53333)
# Longitude:      178.29.30W	( -178.4917)
# Water Depth(m): 1408
#
# Publications:
#   Weaver, P.P.E., L. Carter, and H.L. Neil. 1998. Response of surface water masses
#     and circulation to late Quaternary climate change east of New Zealand. Paleoceanography
#     13(1):70-83.
#------------------
#
# Description & Notes:
#   Late Quaternary SW Pacific Foraminifer Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             commun        Communality
#             d13Cg.bull    delta C13 PDB (Globigerina bulloides)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             forams-b      Benthic Foraminifers (Count)
#             foramsfrag    Foraminifers Fragments
#             frag%         Fragments percent
#             g.aequi       Globigerinella aequilateralis (Count)
#             g.bull        Globigerina bulloides (Count)
#             g.calid       Globigerina calida (Count)
#             g.cavern      Globorotalia cavernula (Count)
#             g.congl       Globigerinoides conglobatus (Count)
#             g.crass       Globorotalia crassaformis (Count)
#             g.crsula      Globorotalia crassula (Count)
#             g.digit       Globigerina digitata (Count)
#             g.falco       Globigerina falconensis (Count)
#             g.glut        Globigerinita glutinata (Count)
#             g.hirsu       Globorotalia hirsuta (Count)
#             g.infla       Globorotalia inflata (Count)
#             g.menar       Globorotalia menardii (Count)
#             g.quinq       Globigerina quinquiloba (Count)
#             g.rub-p       Globigerinoides ruber (pink) (Count)
#             g.rub-w       Globigerinoides ruber (white) (Count)
#             g.rubes       Globigerina rubescens (Count)
#             g.sac-ns      Globigerinoides sacculifer (no sac) (Count)
#             g.sac-ws      Globigerinoides sacculifer (with sac) (Count)
#             g.scit        Globorotalia scitula (Count)
#             g.tenn        Globigerinoides tenellus (Count)
#             g.trc-l       Globorotalia truncatulinoides (left coiling) (Count)
#             g.trc-r       Globorotalia truncatulinoides (right coiling) (Count)
#             g.tumi        Globorotalia tumida (Count)
#             gyrmar        Gyre margin foraminifer assemblage
#             n.duter       Neogloboquadrina dutertrei (Count)
#             n.pachy-l     Neogloboquadrina pachyderma (left coiling) (Count)
#             n.pachy-r     Neogloboquadrina pachyderma (right coiling) (Count)
#             o.univer      Orbulina universa (Count)
#             otherfor      Unidentified planktonic foraminifers (Count)
#             p.obliq       Pulleniatina obliquiloculata (Count)
#             pd            Globigerina pachyderma x Globoquadrina dutertrei intergrade (Count)
#             plank         Planktonic foraminifers (Count)
#             polar         Polar foraminifer assemblage
#             s.dehisc      Sphaeroidinella dehiscens (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             subpolar      Subpolar foraminifer assemblage
#             trans         Transitional foraminifer assemblage
#             trop/sub      Tropical/Subtropical foraminifer assemblage
#             upwell        Upwelling foraminifer assemblage
#             d13Cuvige     delta C13 PDB (Uvigerina sp.)
#             d18Ouvige     delta O18 PDB (Uvigerina sp.)
#
# CORE: R657
depth	yrBP 	carb%	commun	d13Cg.bull	d18Og.bull	forams-b	foramsfrag	frag%	g.aequi	g.bull	g.calid	g.cavern	g.congl	g.crass	g.crsula	g.digit	g.falco	g.glut	g.hirsu	g.infla	g.menar	g.quinq	g.rub-p	g.rub-w	g.rubes	g.sac-ns	g.sac-ws	g.scit	g.tenn	g.trc-l	g.trc-r	g.tumi	gyrmar	n.duter	n.pachy-l	n.pachy-r	o.univer	otherfor	p.obliq	pd	plank	polar	s.dehisc	sst-aug	sst-feb	subpolar	trans	trop/sub	upwell	d13Cuvige	d18Ouvige	
0	0	39.1	0.851	-0.54	0.9	20	438.2	12.6	0	60	4	0	0	0	0	0	12	16	6	148	0	10	0	4	0	0	0	1	1	12	0	0	0.029	0	0	96	1	2	0	8	381	0.033	0	13.402	19.72	-0.446	0.805	0.006	-0.038	-999	-999	
10	3500	45.9	0.685	-0.5	1.44	6	200	6.8	0	62	2	0	0	31	0	0	11	12	0	71	0	10	0	3	0	1	0	3	4	8	0	0	0.014	0	3	120	2	0	0	2	345	0.054	0	11.598	17.907	-0.632	0.529	0.011	-0.047	-0.21	2.94	
20	7000	53.1	0.841	-0.26	2.38	12	157	6.1	0	71	2	0	0	16	0	0	9	17	3	59	0	4	0	7	0	0	0	1	1	15	1	0	0.023	0	4	78	1	2	0	13	304	0.073	0	11.77	17.646	-0.715	0.559	0.051	0.094	-0.29	3.18	
30	10500	54.9	0.753	-0.07	2.28	4	160	3.9	0	95	0	0	0	14	0	0	4	28	1	92	0	36	0	2	0	0	0	5	2	25	0	0	0.012	0	13	162	5	0	0	9	493	0.109	0	10.081	16.163	-0.71	0.487	0.005	-0.01	-999	-999	
40	14250	47.9	0.724	-0.29	2.68	13	230	5.8	0	62	0	0	0	6	0	0	5	36	0	77	0	45	0	2	0	0	0	3	0	20	0	0	-0.003	3	33	164	0	2	0	12	470	0.203	0	9.385	15.575	-0.685	0.444	0.017	-0.127	-0.6	4.39	
50	18000	38	0.786	0	3	12	260	9.3	0	47	1	0	0	8	0	0	0	15	0	77	0	33	0	0	0	0	0	3	0	22	0	0	0.025	0	24	79	0	1	0	6	316	0.24	0	9.228	15.561	-0.59	0.616	-0.009	-0.016	-0.78	4.55	
60	22750	26.4	0.765	0.06	3.26	15	430	15.2	0	56	1	0	0	6	0	0	1	18	0	44	0	26	0	0	0	0	0	1	0	10	0	0	0.006	0	41	93	0	0	0	3	300	0.368	0	7.639	13.185	-0.686	0.399	-0.004	-0.022	-0.64	4.73	
70	27500	42.3	0.759	-0.24	2.3	20	290	9.6	0	48	0	0	0	15	1	1	4	29	0	48	0	27	0	0	0	0	0	1	1	18	0	0	-0.004	0	34	105	0	0	0	11	343	0.285	0	8.713	14.55	-0.699	0.424	0.016	-0.095	-0.62	4.41	
80	33750	43.4	0.711	0.05	2.25	20	340	11.6	0	38	0	1	0	8	0	0	9	22	0	36	0	16	0	0	0	0	0	2	0	18	0	0	-0.026	0	48	116	1	0	0	10	325	0.361	0	8.075	13.241	-0.653	0.363	0.01	-0.146	-0.66	4.4	
90	40000	44.8	0.706	0.21	2.66	15	360	11.2	0	51	2	0	0	2	0	0	5	26	0	43	0	26	0	2	0	0	0	2	0	16	0	0	-0.023	0	20	144	1	1	0	15	356	0.154	0	9.319	14.716	-0.728	0.356	0.02	-0.156	-0.75	4.33	
100	-999	40.7	-999	0.51	2.76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-0.69	4.49	
110	52400	45.2	0.75	-0.08	2.16	15	320	11.7	0	58	1	0	0	10	1	0	3	15	0	35	0	31	0	0	0	1	0	1	0	10	0	0	0.004	0	28	97	1	2	0	8	302	0.275	0	7.595	13.347	-0.742	0.351	-0.004	-0.023	-0.56	4.1	
120	-999	48.2	-999	0.42	2.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-0.55	4.31	
130	64700	45.4	0.817	0.16	2.3	17	350	12.2	0	68	0	0	0	15	0	0	1	12	0	42	0	12	0	0	0	0	0	0	1	5	0	0	0.019	0	51	94	1	0	0	13	315	0.41	0	7.109	12.73	-0.711	0.378	-0.017	0.005	-0.65	4.15	
140	-999	48.6	-999	-0.08	2.03	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-0.74	4.04	
150	76700	50.9	0.74	-0.39	2.06	16	240	6	0	68	2	0	0	15	0	0	6	26	0	51	0	26	0	0	0	0	0	2	0	14	2	0	-0.014	0	68	166	5	0	0	18	469	0.362	0	7.664	13.281	-0.685	0.346	0	-0.142	-0.76	4.38	
160	-999	55.9	-999	-0.86	1.52	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-0.73	4.02	
