# NOAA Paleoclimatology Program - Paleocean Site Data
# rc10-62-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      RC10-62
# Latitude:       3.12.00N	( 3.2)
# Longitude:      101.26.00W	( -101.4333)
# Water Depth(m): 3120
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             spong.sp%     Spongurus sp.-percent
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#             seasdif       August to February SST difference (C)
#             sst           Sea Surface Temperature (C)
#
# CORE: RC10-62
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	spong.sp%	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	seasdif	sst	
1	-8400	0	0.25	0.1948	0.37	0.86	0.074	0.12	0	0.99	0.12	0.8885	0.49	0.25	6.17	1.48	2.22	0.86	0.2951	0.12	0.49	0.0972	0.25	0.49	0.12	1.97	0.37	3.2	0.74	0.49	0.25	1.11	0	0.86	0.12	0.37	0.62	0.37	810	2.71	0.49	1.85	0.74	0.49	1.48	18.7	0.86	0	0.3586	0.7874	0.0003	-999	-999	
4	-6600	0	0.13	0.1784	0.75	0.63	0.0051	0.38	0	0.25	0	0.8941	0.63	0.38	2.87	1.12	2.75	0.25	0.1672	0	1	0.0083	1.12	0.88	0.5	2.5	0	2.75	0.25	1.12	0.13	1	0.13	0.63	0.75	0.5	0.13	0	800	5.12	0	1.62	2.37	0.38	0.5	18.7	0.88	0.25	0.277	0.8693	-0.0418	-999	-999	
9	-3600	0	0.75	0.1444	0.63	0.75	0.0094	0.13	0	0.5	0	0.8979	0.25	0.75	2.62	2.12	3.37	0.63	0.1789	0	1	0.0757	1	0.25	1.62	1	0.25	2.5	0	0.5	0	1.12	0.13	0.63	0.25	0.63	0.63	0.13	800	4.75	0.25	0	0.38	0.63	0.75	17.8	1.25	0.38	0.2836	0.8694	-0.0544	-999	-999	
14	-600	0	0.25	0.1643	0.13	0.88	0.0112	0.38	0	1	0	0.9006	0.63	0.25	4.37	1.25	2.12	0.63	0.211	0	1.62	0.0378	0.88	0.75	0.5	1.87	0	1.87	0	1.12	0.13	1.12	0	1.37	0.75	1.37	0.13	0.25	800	3.25	0	1.12	1	0.5	1	17.2	1.75	0.13	0.2784	0.8589	-0.1111	-999	-999	
20	3000	0	0.74	0.1625	0.25	0.87	0.0111	0.12	0	0.25	0.12	0.9104	0.37	0.25	3.83	1.11	3.21	0.25	0.2297	0.12	1.23	0.0611	1.11	0.49	0.25	1.85	0.12	2.22	0.37	0.49	0	0.74	0.25	0.99	0.87	0.62	0.12	0.12	809	2.34	0.37	0.62	1.48	0.74	0.87	21.5	1.35	0.12	0.2462	0.8673	-0.1207	3.09	23.8	
25	6000	0	0.25	0.1604	1	0.62	-0.0246	0.25	0	0.75	0	0.8958	0.62	0.37	3.99	1.62	1.49	0.25	0.2486	0	0.62	-0.0108	1	1	0.25	2.61	0.12	1.24	0.5	0.37	0.12	1.62	0	0.87	0.37	0.75	0.25	0.12	802	2.11	0.12	1	1	1	0.62	19.8	1.37	0	0.3231	0.8311	-0.1111	4.02	22.86	
30	9000	0	0.25	0.1288	0.25	0.75	0.0265	0	0	0.75	0	0.8571	0.25	0.75	6.21	1.74	2.48	0.5	0.1826	0	1.99	0.2146	0.25	0.25	0	0	0.25	1	0	1.49	0	0.75	0	0.75	0	0.5	0	0	402	2.23	0.5	1.24	1.49	1	1	18.4	0	0	0.1851	0.8414	-0.1353	1.95	22.78	
39	13511.1	0	0.66	0.15	0.17	0.17	0.0702	0.17	0	1.32	0.17	0.9075	0.33	0.5	4.95	1.98	2.8	0.5	0.2398	0	1.48	0.1754	0.33	0.66	0.99	0.83	0.17	2.8	0.99	0.5	0	0.33	0.5	0.66	0.17	0.66	0	0.5	606	4.12	0	0.66	0.5	0.83	1.15	20.9	0.5	0	0.323	0.8288	-0.025	4.24	22.52	
44	15600	0	0.5	0.1603	0	0.5	0.0229	0	0	1	0	0.905	0	0.5	6.04	3.77	1.25	0.25	0.2429	0	1.25	0.2915	1.25	0	0.25	1	0	3.27	0.5	1	0	0.5	0.76	0.76	0.25	0.76	0	0	397	1.51	0	1.25	0.25	0.76	1.51	22.1	0	0	0.3523	0.7744	-0.1048	4.37	20.28	
55	20907.4	0	0.38	0.1669	0.63	0.38	0.0581	0.38	0	1.5	0	0.8504	0.38	0.38	5.87	3.87	1.75	0.63	0.2354	0	0.38	0.1123	0.13	0.25	0.25	2.87	0.25	2.37	0.38	0.63	0.38	0.88	0.25	0.75	0.25	0.88	0.25	0.5	800	3.25	0.13	1	0.88	0.88	3.12	16.1	0.25	0.13	0.425	0.7553	-0.011	5.13	20.83	
