# NOAA Paleoclimatology Program - Paleocean Site Data
# rc13-115-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      RC13-115
# Latitude:       1.23.00S	( -1.38333)
# Longitude:      104.30.00W	( -104.5)
# Water Depth(m): 3621
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             seasdif       August to February SST difference (C)
#             spong.sp%     Spongurus sp.-percent
#             sst           Sea Surface Temperature (C)
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#
# CORE: RC13-115
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	seasdif	spong.sp%	sst	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	
1	321.4	0	0.62	0.1838	0.5	1.99	0.0301	0.5	0	0.25	0.12	0.881	0.5	0.12	2.87	1.24	2.62	0.25	0.2432	0.12	0.75	-0.0566	0.5	0.5	0.37	2.74	0.12	1.99	0.12	0.5	0.5	1.37	0	1.99	1.12	0.5	0.5	0.12	801	3.49	0.12	1	0.75	1.62	3.61	0.5	22.92	11.9	1	0.25	0.3498	0.8056	-0.1119	
5	1607	0	0.62	0.1685	0.37	2.48	0.0499	0.12	0	0.74	0.12	0.8248	0.62	0.25	2.97	0.5	2.48	0.25	0.2066	0	0.37	-0.1007	0.74	0.5	0.25	2.97	0	2.23	0.25	0	0.12	1.48	0.12	2.1	0.99	0.5	0.5	0	806	6.2	0	1.73	0.99	0.99	3.81	0.5	23.24	8.8	0.37	0.12	0.3221	0.7981	-0.0218	
15	4821	0	0.75	0.1145	1.49	1.49	-0.0018	0.25	0	0.62	0.12	0.903	0.37	0.37	2.99	1.24	1.62	0	0.2905	0.25	1.24	-0.1134	1	1.49	0.25	2.11	0.25	1	0.12	0.12	0.25	1.49	0.37	2.99	1.49	0.75	0.25	0.12	802	2.86	0	0.25	0.5	0.37	2.44	0.37	24.3	12.2	1.12	0.12	0.2968	0.818	-0.188	
20	6429	0	1.62	0.1876	1.12	1	0.0031	0.25	0	0.25	0.13	0.8988	0.5	0.13	2.5	1.25	1.62	0	0.2766	0.25	0.75	-0.0687	1.25	0.88	0.5	1.62	0.13	1	0.25	0.38	0.13	1.12	0.13	2.75	1	0.25	0.25	0	800	3.62	0	1	0.5	1	2.22	0.63	24.03	14.5	1.75	0.25	0.2637	0.8244	-0.1823	
25	8036	0	0.37	0.169	0.98	0.98	0.0331	0.49	0	0.49	0	0.8338	0.37	0.49	2.44	1.58	2.68	0.37	0.1991	0.37	0.24	-0.1028	0.86	1.22	0.98	2.68	0.49	1.1	0.24	0.49	0.24	1.22	0.24	2.07	0.37	1.1	0.61	0.61	818	4.03	0	1.22	0.86	1.1	4.43	0.73	22.46	7.09	0.61	0.24	0.3674	0.7865	-0.0197	
30	9643	0	0.87	0.172	1.37	2.12	-0.0184	1	0	0.5	0.12	0.8415	0.25	0.12	1.99	1	1	0.12	0.2991	0.37	1.12	-0.1404	0	1	0.25	2.12	0	1.37	1.12	0.25	0.25	1.62	0.25	2.37	1	0	0	0	801	3.37	0.25	0.62	1	1.12	2.75	0.25	22.44	8.73	2.12	0.25	0.3466	0.7458	-0.1615	
35	11250	0	0.25	0.2393	1.11	0.87	0.0258	0.74	0	0.37	0.12	0.8606	0.12	0.25	1.36	1.36	1.73	0.5	0.3389	0	0.25	-0.0712	0.37	1.36	0.25	1.48	0.25	2.1	0.62	0.12	0.25	1.86	0.12	1.61	0.12	0.12	0.74	0.74	806	3.22	0	0.99	0.37	2.1	4.41	2.23	21.36	14.2	1.73	0	0.4082	0.7172	-0.0409	
40	12857	0	0.63	0.2088	1.12	2.37	0.0025	0	0	0.63	0	0.8726	0.13	0.13	2.75	1.25	1.87	0.38	0.2696	0.13	0.5	-0.0341	0.38	1.5	0.13	1.12	0.13	2.87	0.5	0.38	0.75	1.87	0.25	0.88	0.25	0.13	0.25	0	800	3.62	0.13	0.63	0.88	1.62	4.41	1	21.68	11.1	1.5	0	0.3903	0.7725	-0.0776	
45	14464	0	0.62	0.1681	0	1.12	-0.0149	1.12	0	0.5	0	0.8763	0.37	0	2.99	1.37	1.24	0.75	0.3717	0.12	0.5	-0.1281	0.12	1.49	0	2.49	0.62	1.37	1.24	0.12	1.12	2.49	0.25	1.87	0.87	0.12	0.37	0.37	801	2.12	0	1	0.5	0.25	4.24	1.37	21.78	10.2	1.74	0.25	0.4231	0.7121	-0.0845	
55	17719	0	0.75	0.2247	0.25	1.49	0.0503	0.12	0	0.25	0	0.8891	0.37	0.25	2.99	2.49	1.12	0.5	0.3367	0.37	0.75	-0.0106	0.12	0.5	0.12	2.87	0.5	2.74	0.87	0.12	1	1.99	0.12	1.37	0.37	0.37	0.25	0.12	801	2.87	0.25	1.12	0.5	1.24	5.16	1.62	21.02	12.1	1	0	0.4536	0.7187	-0.0171	
