# NOAA Paleoclimatology Program - Paleocean Site Data
# s794-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Philip P.E. Weaver
# Core/Site:      S794
# Latitude:       40.23.48S	( -40.39667)
# Longitude:      177.59.48E	( 177.9967)
# Water Depth(m): 2195
#
# Publications:
#   Weaver, P.P.E., L. Carter, and H.L. Neil. 1998. Response of surface water masses
#     and circulation to late Quaternary climate change east of New Zealand. Paleoceanography
#     13(1):70-83.
#------------------
#
# Description & Notes:
#   Late Quaternary SW Pacific Foraminifer Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             commun        Communality
#             d13Cg.bull    delta C13 PDB (Globigerina bulloides)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             forams-b      Benthic Foraminifers (Count)
#             foramsfrag    Foraminifers Fragments
#             frag%         Fragments percent
#             g.aequi       Globigerinella aequilateralis (Count)
#             g.bull        Globigerina bulloides (Count)
#             g.calid       Globigerina calida (Count)
#             g.cavern      Globorotalia cavernula (Count)
#             g.congl       Globigerinoides conglobatus (Count)
#             g.crass       Globorotalia crassaformis (Count)
#             g.crsula      Globorotalia crassula (Count)
#             g.digit       Globigerina digitata (Count)
#             g.falco       Globigerina falconensis (Count)
#             g.glut        Globigerinita glutinata (Count)
#             g.hirsu       Globorotalia hirsuta (Count)
#             g.infla       Globorotalia inflata (Count)
#             g.menar       Globorotalia menardii (Count)
#             g.quinq       Globigerina quinquiloba (Count)
#             g.rub-p       Globigerinoides ruber (pink) (Count)
#             g.rub-w       Globigerinoides ruber (white) (Count)
#             g.rubes       Globigerina rubescens (Count)
#             g.sac-ns      Globigerinoides sacculifer (no sac) (Count)
#             g.sac-ws      Globigerinoides sacculifer (with sac) (Count)
#             g.scit        Globorotalia scitula (Count)
#             g.tenn        Globigerinoides tenellus (Count)
#             g.trc-l       Globorotalia truncatulinoides (left coiling) (Count)
#             g.trc-r       Globorotalia truncatulinoides (right coiling) (Count)
#             g.tumi        Globorotalia tumida (Count)
#             gyrmar        Gyre margin foraminifer assemblage
#             n.duter       Neogloboquadrina dutertrei (Count)
#             n.pachy-l     Neogloboquadrina pachyderma (left coiling) (Count)
#             n.pachy-r     Neogloboquadrina pachyderma (right coiling) (Count)
#             o.univer      Orbulina universa (Count)
#             otherfor      Unidentified planktonic foraminifers (Count)
#             p.obliq       Pulleniatina obliquiloculata (Count)
#             pd            Globigerina pachyderma x Globoquadrina dutertrei intergrade (Count)
#             plank         Planktonic foraminifers (Count)
#             polar         Polar foraminifer assemblage
#             s.dehisc      Sphaeroidinella dehiscens (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             subpolar      Subpolar foraminifer assemblage
#             trans         Transitional foraminifer assemblage
#             trop/sub      Tropical/Subtropical foraminifer assemblage
#             upwell        Upwelling foraminifer assemblage
#
# CORE: S794
depth	yrBP 	carb%	commun	d13Cg.bull	d18Og.bull	forams-b	foramsfrag	frag%	g.aequi	g.bull	g.calid	g.cavern	g.congl	g.crass	g.crsula	g.digit	g.falco	g.glut	g.hirsu	g.infla	g.menar	g.quinq	g.rub-p	g.rub-w	g.rubes	g.sac-ns	g.sac-ws	g.scit	g.tenn	g.trc-l	g.trc-r	g.tumi	gyrmar	n.duter	n.pachy-l	n.pachy-r	o.univer	otherfor	p.obliq	pd	plank	polar	s.dehisc	sst-aug	sst-feb	subpolar	trans	trop/sub	upwell	
1	160	34	0.904	-0.19	-0.24	16	108	4.1	0	67	6	0	0	31	0	0	57	9	4	96	0	2	0	21	0	1	0	0	1	3	6	0	0.027	0	0	5	0	0	0	3	312	0.034	0	19.88	14.587	-0.259	0.8	0.152	0.414	
5	-999	34.1	-999	-0.73	-0.08	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
10	1610	45.8	0.908	-0.09	0.11	13	147	5.6	0	72	5	0	0	13	1	1	31	15	5	108	0	1	0	21	0	1	1	1	5	4	7	0	0.058	2	0	9	4	0	1	1	309	0.042	0	20.367	14.865	-0.311	0.815	0.148	0.345	
15	-999	41.3	-999	-0.89	-0.07	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
20	3220	46.8	0.903	-0.93	-0.39	13	190	5.9	2	106	5	0	0	23	3	0	42	15	5	103	0	0	0	38	0	1	0	2	3	3	11	0	0.04	1	0	13	2	1	0	0	379	0.05	0	21.086	15.115	-0.394	0.698	0.222	0.455	
25	-999	48.2	-999	-1.04	-0.41	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
30	-999	48.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
35	-999	44.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
40	6440	40.5	0.886	-999	-999	15	90	2.6	0	117	5	0	0	24	9	0	46	7	1	110	0	3	0	53	0	1	0	0	11	3	7	0	0.04	2	0	11	5	2	3	0	420	0.055	0	21.713	15.389	-0.369	0.678	0.269	0.461	
45	-999	-999	-999	-0.75	1.29	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
50	7790	44.5	0.891	-1.19	-0.21	8	92	2.6	0	109	10	0	0	36	7	0	59	15	0	93	0	1	0	44	0	6	0	2	13	4	6	0	0.047	4	0	6	4	2	0	4	425	0.047	0	21.915	15.554	-0.375	0.652	0.265	0.501	
55	-999	44.5	-999	-1.25	-0.17	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
