Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction
LAST UPDATE: 4/2006 (Original receipt by WDC Paleo)
CONTRIBUTOR: Matthew W. Schmidt, University of California Davis
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2006-038


SUGGESTED DATA CITATION: Schmidt, M.W., et al. 2006. 
Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2006-038.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: Schmidt, M.W., M.J. Vautravers, and H.J. Spero. 2006.
Western Caribbean sea surface temperatures during the late Quaternary.  
Geochemistry Geophysics Geosystems, vol. 7, no. 2, Q02P10.
doi:10.1029/2005GC000957.
 
ABSTRACT: 
Mg/Ca ratios in the planktonic foraminifera Globigerinoides ruber from 
Colombian Basin core ODP 999A suggest that Caribbean sea surface temperatures 
(SSTs) were from 2.1 to 2.7°C colder than the present during the last three 
glacial maximums. In comparison, faunal derived SSTs (SIMMAX method) show that 
August SSTs in the Caribbean varied <2°C over the past 360 kyr, whereas 
February SSTs varied between 21.0°C and 26.5°C. Changes in the Mg/Ca-SST record 
contain a strong 23 kyr periodicity, suggesting the Mg/Ca-SST record reflects 
a warm season weighted SST average rather than an annual mean SST. Combining 
several dissolution indices, we identify brief periods of decreased carbonate 
preservation in our record and show that MIS 11 stands out as the most intensive 
dissolution cycle in the Caribbean over the last 460 kyr. Comparison of Caribbean 
SST change with a similar estimate of tropical SST variability in the western 
Pacific over the past 360 kyr reveals shifts in the east-west tropical SST gradient 
that are coeval with glacial-interglacial climate change and consistent both with 
a southward migration of the glacial ITCZ and with a glacial El Niño-like mode of 
tropical circulation.


GEOGRAPHIC REGION: Western Caribbean, Colombian Basin 
PERIOD OF RECORD: 475 - 3 KYrBP


DESCRIPTION: 
Western Caribbbean SST's derived from OPD999A Globigerinoides ruber Mg/Ca d18O ratios.  
Caribbean sea surface temperatures (SSTs) were from 2.1 to 2.7°C colder than the present 
during the last three glacial maximums. In comparison, faunal derived SSTs (SIMMAX method) 
show that August SSTs in the Caribbean varied <2°C over the past 360 kyr, whereas February 
SSTs varied between 21.0°C and 26.5°C.  

Core ODP 999A:  12 deg. 45' N, 78 deg. 44' W, 2827m. depth.



DATA:
1. ODP 999A isotope, Mg/Ca, and SST data

 Depth       Age       d18Oc      Mg/Ca      SST(oC)
     1       3.52      -1.86      4.140      28.24
     4       3.86      -1.85      4.161      28.30
     6       4.08      -1.81      4.062      28.03
     9       4.41      -1.77      4.057      28.02
    11       4.63      -2.01      4.253      28.54
    13       4.86      -1.91      4.229      28.48
    16       5.19      -1.83      3.967      27.77
    21       5.75      -1.87      4.147      28.26
    26       6.78      -1.65      4.155      28.28
    31       7.82      -1.75      4.145      28.26
    38       9.28      -1.41      3.891      27.56
    43      10.32      -1.20      3.854      27.45
    48      11.65      -0.95      3.672      26.91
    53      12.96      -0.83      3.718      27.05
    56      13.75      -0.62      3.808      27.32
    61      15.07      -0.56      3.819      27.35
    66      16.38      -0.30      3.712      27.03
    71      17.26      -0.18      3.537      26.50
    76      18.14      -0.05      3.373      25.97
    81      19.01      -0.10      3.347      25.88
    86      19.89       0.02      3.509      26.41
    91      20.77      -0.26      3.225      25.47
    96      21.65       0.07      3.351      25.89
   101      22.25      -0.23      3.537      26.50
   106      23.31       0.03      3.458      26.24
   111      24.37      -0.08      3.495      26.36
   116      25.43      -0.17      3.334      25.84
   121      26.49      -0.32      3.409      26.09
   126      27.55      -0.31      3.700      27.00
   131      28.61      -0.37      3.594      26.67
   136      29.67      -0.33      3.471      26.29
   141      30.07      -0.39      3.415      26.10
   146      30.48      -0.30      3.500      26.38
   153      32.21      -0.51      3.576      26.62
   156      32.95      -0.37      3.480      26.31
   161      34.19      -0.61      3.638      26.81
   166      35.43      -0.63      3.526      26.46
   171      36.67      -0.64      3.542      26.51
   176      37.90      -0.64      3.225      25.47
   181      39.14      -0.56      3.571      26.60
   188      40.88      -0.52      3.335      25.84
   193      42.11      -0.69      3.429      26.15
   196      42.86      -0.62      3.204      25.40
   201      44.10      -0.66      3.209      25.41
   206      45.33      -0.75      3.315      25.77
   211      46.57      -0.65      3.409      26.09
   216      47.81      -0.72      3.456      26.24
   221      49.05      -0.71      3.444      26.20
   226      50.29      -0.69      3.470      26.28
   231      51.52      -0.70      3.259      25.59
   236      52.76      -0.76      3.620      26.75
   241      54.00      -0.85      3.447      26.21
   246      55.24      -0.93      3.560      26.57
   251      56.48      -0.74      3.463      26.26
   256      57.71      -0.47      3.470      26.28
   261      58.95      -0.52      3.401      26.06
   266      60.19      -0.54      3.529      26.47
   271      61.43      -0.58      3.568      26.59
   276      62.67      -0.55      3.752      27.15
   281      63.90      -0.44      3.765      27.19
   286      65.14      -0.43      3.892      27.56
   291      66.38      -0.37      3.727      27.08
   296      67.62      -0.79      3.756      27.16
   303      69.35      -0.69      3.689      26.96
   306      70.10      -0.87      3.686      26.95
   311      71.33      -0.89      3.620      26.75
   316      72.57      -1.10      3.632      26.79
   321      73.81      -1.19      3.440      26.18
   326      75.05      -1.24      3.807      27.31
   331      76.29      -1.16      3.570      26.60
