# NOAA Paleoclimatology Program - Paleocean Site Data
# t16319l4-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      TR163-19
# Latitude:       2.15.18N	( 2.255)
# Longitude:      90.57.04W	( -90.95111)
# Water Depth(m): 2348
#
# Publications:
#   Lea, D.W. 2004. The 100,000 year cycle in tropical SST, greenhouse forcing, and
#     climate sensitivity. Journal of Climate 17(11):2170-2179.
#   Lea, D.W., D.K. Pak, and H.J. Spero. 2000. Climate impact of late Quaternary
#     equatorial Pacific sea surface temperature variations. Science
#     289(5485):1719-1724.
#   Shackleton, N.J. 2000. The 100,000-year ice-age cycle identified and found to
#     lag temperature, carbon dioxide, and orbital eccentricity. Science
#     289:1897-1902.
#   Dekens, P.S., D.W. Lea, D.K. Pak, and H.J. Spero. 2002. Core top calibration
#     of Mg/Ca in tropical foraminifera: Refining paleo-temperature estimation. Geochemistry,
#     Geophysics, Geosystems 3:1022.
#------------------
#
# Description & Notes:
#   Eastern Tropical Pacific Foraminiferal Mg/Ca and SST Reconstruction.
#   Mg/Ca data on cleaned G. ruber shells by ICP-MS, 417 individual data points from
#   Lea et al. 2000, and 76 new data points from 39 depth intervals, total data points
#   493, total depth intervals 208. SST estimates based on depth/basin-corrected
#   calibration in
#
# Notes on Chronology:
#   Conversion of core depth to age is based on the timescale for core V19-30 in
#   Shackleton (2000). Benthic O18 from TR163-19 was tied to V19-30 O18. A calibrated
#   radiocarbon age was used for the core-top only.
#
# CHRONOLOGY CONTROL POINTS
# 
#  yrBP       radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#             Depth         yrBP          error+        error-        Notes
#              1             1040         -999          -999          Top           
#              44            12000        -999          -999          2             
#              124           30000        -999          -999          3             
#              239           55000        -999          -999          3.3           
#              284           71000        -999          -999          5             
#              389           124000       -999          -999          5e            
#              414           131000       -999          -999          6             
#              529           171000       -999          -999          6.5           
#              569           191000       -999          -999          7             
#              679           230000       -999          -999          7.4 to 7      
#              704           245000       -999          -999          8             
#              799           279000       -999          -999          9             
#              959           336000       -999          -999          10            
#              999           344000       -999          -999          10.2          
#              1029          361000       -999          -999          -             
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             Mg/Ca-g.rub   Magnesium/Calcium ratio (Globigerinoides ruber)
#             sst           Sea Surface Temperature (C)
#
# CORE: TR163-19
depth	calyrBP 	Mg/Ca-g.rub	sst	
1	1000	2.999	26	
4	1800	2.86	25.5	
9	3100	3.123	26.4	
14	4400	3.017	26.1	
19	5600	3.061	26.2	
24	6900	3.095	26.3	
29	8200	3.326	27.1	
34	9500	2.989	25.9	
39	10700	2.852	25.4	
44	12000	2.881	25.5	
49	13100	2.783	25.2	
54	14300	2.745	25	
59	15400	2.627	24.5	
64	16500	2.613	24.5	
69	17600	2.309	23.1	
74	18800	2.356	23.3	
79	19900	2.466	23.8	
84	21000	2.3	23	
89	22100	2.447	23.7	
94	23300	2.424	23.6	
99	24400	2.441	23.7	
104	25500	2.215	22.6	
109	26600	2.413	23.6	
114	27800	2.291	23	
119	28900	2.254	22.8	
124	30000	2.361	23.3	
129	31100	2.683	24.7	
134	32200	2.633	24.5	
139	33300	2.467	23.8	
144	34300	2.576	24.3	
149	35400	2.469	23.8	
154	36500	2.601	24.4	
159	37600	2.205	22.6	
164	38700	2.493	23.9	
169	39800	2.58	24.3	
174	40900	2.595	24.4	
179	42000	2.441	23.7	
184	43000	2.458	23.8	
189	44100	2.577	24.3	
194	45200	2.601	24.4	
199	46300	2.622	24.5	
204	47400	2.659	24.7	
209	48500	2.785	25.2	
214	49600	2.669	24.7	
220	50900	2.441	23.7	
224	51700	2.493	23.9	
229	52800	2.608	24.4	
234	53900	2.715	24.9	
239	55000	2.63	24.5	
244	56800	2.556	24.2	
249	58600	2.521	24.1	
254	60300	2.527	24.1	
259	62100	2.665	24.7	
264	63900	2.563	24.2	
269	65700	2.208	22.6	
274	67400	2.416	23.6	
279	69200	2.373	23.4	
284	71000	2.555	24.2	
289	73500	2.529	24.1	
294	76000	2.741	25	
299	78600	2.767	25.1	
304	81100	2.852	25.4	
309	83600	2.896	25.6	
314	86100	2.603	24.4	
319	88700	2.525	24.1	
324	91200	2.516	24	
329	93700	2.607	24.4	
334	96200	2.775	25.1	
339	98800	2.939	25.8	
344	101300	2.903	25.6	
349	103800	3.017	26.1	
354	106300	2.927	25.7	
359	108900	2.849	25.4	
364	111400	2.725	24.9	
369	113900	2.757	25.1	
374	116400	2.698	24.8	
379	119000	3.13	26.5	
384	121500	3.091	26.3	
389	124000	3.385	27.3	
394	125400	3.59	28	
399	126800	3.621	28.1	
404	128200	3.614	28.1	
409	129600	3.158	26.6	
414	131000	3.367	27.3	
419	132700	3.058	26.2	
423	134100	2.796	25.2	
429	136200	2.522	24.1	
434	138000	2.605	24.4	
439	139700	2.491	23.9	
444	141400	2.623	24.5	
449	143200	2.419	23.6	
454	144900	2.562	24.2	
459	146700	2.573	24.3	
464	148400	2.81	25.3	
469	150100	2.501	24	
474	151900	2.56	24.2	
479	153600	2.306	23.1	
484	155300	2.375	23.4	
489	157100	2.246	22.8	
494	158800	2.54	24.1	
499	160600	2.553	24.2	
504	162300	2.578	24.3	
509	164000	2.382	23.4	
512.8	165300	2.483	23.9	
519	167500	2.302	23	
524	169300	2.56	24.2	
529	171000	2.444	23.7	
534	173500	2.519	24	
539	176000	2.343	23.2	
544	178500	2.748	25	
549	181000	2.419	23.6	
554	183500	2.575	24.3	
559	186000	2.332	23.2	
564	188500	2.645	24.6	
569	191000	2.438	23.7	
574	192800	2.605	24.4	
579	194500	2.569	24.3	
584	196300	2.942	25.8	
589	198100	2.784	25.2	
594	199900	3.089	26.3	
599	201600	2.768	25.1	
604	203400	2.629	24.5	
609	205200	2.601	24.4	
614	207000	2.744	25	
619	208700	2.765	25.1	
624	210500	3.019	26.1	
629	212300	3.115	26.4	
634	214000	3.183	26.6	
639	215800	3.025	26.1	
644	217600	2.816	25.3	
649	219400	2.533	24.1	
654	221100	2.524	24.1	
659	222900	2.402	23.5	
664	224700	2.816	25.3	
669	226500	2.615	24.5	
674	228200	2.669	24.7	
679	230000	2.753	25	
684	233000	3.135	26.5	
689	236000	3.172	26.6	
694	239000	3.346	27.2	
699	242000	3.52	27.8	
704	245000	3.215	26.8	
709	246800	2.884	25.6	
714	248600	2.724	24.9	
719	250400	2.65	24.6	
724	252200	2.352	23.3	
729	253900	2.427	23.6	
734	255700	2.385	23.4	
739	257500	2.46	23.8	
743	259000	2.384	23.4	
744	259300	2.476	23.9	
749	261100	2.441	23.7	
754	262900	2.425	23.6	
759	264700	2.445	23.7	
764	266500	2.495	23.9	
769	268300	2.278	22.9	
774	270100	2.333	23.2	
779	271800	2.536	24.1	
784	273600	2.337	23.2	
789	275400	2.331	23.2	
794	277200	2.414	23.6	
799	279000	2.723	24.9	
804	280800	2.468	23.8	
809	282600	2.824	25.3	
814	284300	2.839	25.4	
819	286100	3.102	26.4	
824	287900	3.071	26.3	
829	289700	3.231	26.8	
834	291500	2.8	25.2	
839	293300	2.296	23	
844	295000	2.385	23.4	
849	296800	2.55	24.2	
854	298600	2.388	23.5	
859	300400	2.643	24.6	
864	302200	2.665	24.7	
869	303900	2.689	24.8	
874	305700	2.636	24.6	
879	307500	2.795	25.2	
884	309300	2.846	25.4	
889	311100	2.775	25.1	
894	312800	2.919	25.7	
899	314600	3.022	26.1	
904	316400	2.772	25.1	
909	318200	2.794	25.2	
914	320000	2.894	25.6	
919	321800	2.884	25.6	
924	323500	2.885	25.6	
929	325300	3.355	27.2	
934	327100	3.174	26.6	
939	328900	3.429	27.5	
944	330700	3.088	26.3	
949	332400	3.509	27.7	
954	334200	3.31	27.1	
959	336000	3.535	27.8	
964	337000	3.113	26.4	
969	338000	3.177	26.6	
974	339000	2.858	25.5	
979	340000	2.83	25.3	
984	341000	2.674	24.7	
989	342000	2.753	25	
994	343000	2.588	24.3	
999	344000	2.512	24	
1004	346800	2.484	23.9	
1009	349700	2.668	24.7	
1014	352500	2.518	24	
1019	355300	2.408	23.5	
1024	358200	2.329	23.2	
1029	361000	2.341	23.2	
