# NOAA Paleoclimatology Program - Paleocean Site Data
# t93929-p-tab.txt
# Complete Data
# File Created: 16-Dec-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Edouard Bard
# Core/Site:      TY93-929/P
# Latitude:       13.42.00N	( 13.7)
# Longitude:      53.15.00E	( 53.25)
# Water Depth(m): 2490
#
# Publications:
#   Bard, E., F. Rostek, and C. Sonzogni. 1997. Interhemispheric synchrony of the
#     last deglaciation inferred from alkenone palaeothermometry. Nature 385, 707-710.
#   Rostek, F., G. Ruhland, F. Bassinot, P.J. Mueller, L. Labeyrie, Y. Lancelot,
#     and E. Bard. 1993. Reconstructing sea surface temperature and salinity using
#     d18O and alkenone records. Nature 364, 319-321.
#   Rostek, F., E. Bard, L. Beaufort, C. Sonzogni, and G. Ganssen. 1997. Sea surface
#     temperature and productivity records for the past 240 kyr in the Arabian Sea.
#     Deep Sea Research II 44, 1461-1480.
#------------------
#
# Description & Notes:
#   Indian Ocean Sea Surface Temperature Reconstruction for last 150,000 years.
#   Geochemical and geochronological data, together with some interpretations, can
#   be found in Rostek et al. (1997)
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37      Sea Surface Temperature from Uk'37 (C)
#
# CORE: TY93-929/P
depth	calyrBP 	sst-uk37	
-999	2300	25.9	
-999	4300	26.2	
-999	5200	26.1	
-999	6200	25.7	
-999	7200	26.3	
-999	8200	26	
-999	9100	24.8	
-999	10100	25.3	
-999	11100	26.2	
-999	12100	25.8	
-999	12800	26.5	
-999	13500	26.1	
-999	14200	24.9	
-999	15000	25.3	
-999	15700	24.4	
-999	16400	24.5	
-999	17100	24.2	
-999	17900	24.4	
-999	18300	24.8	
-999	18700	24	
-999	19200	25	
-999	19600	24.5	
-999	20100	24.8	
-999	20500	24.5	
-999	21000	25	
-999	21400	24.9	
-999	21800	24	
-999	22300	24.7	
-999	22700	24.2	
-999	23200	25.3	
-999	23400	25.6	
-999	23600	25.1	
-999	23900	26	
-999	24100	25.6	
-999	25500	25.2	
-999	26900	25.9	
-999	29800	26	
-999	31200	25.6	
-999	32600	25.8	
-999	34000	26.7	
-999	35400	26.5	
-999	36800	26.7	
-999	38200	25.9	
-999	39600	24.7	
-999	41100	25.5	
-999	42500	25.5	
-999	43900	24.4	
-999	44900	23.3	
-999	46000	25	
-999	47000	25	
-999	48100	24.9	
-999	49200	23.2	
-999	50200	23.8	
-999	51100	23.5	
-999	52000	23.9	
-999	52800	23.9	
-999	53700	24.4	
-999	54600	23.5	
-999	55500	24.3	
-999	57200	23.2	
-999	59000	24.7	
-999	61500	24.4	
-999	64100	25.2	
-999	66500	24.2	
-999	68800	24.7	
-999	69600	23.8	
-999	70300	24.4	
-999	72100	23.4	
-999	73900	25	
-999	75200	25.1	
-999	76600	24.9	
-999	77900	24.5	
-999	79300	26	
-999	81200	25.5	
-999	83200	26.3	
-999	85100	26	
-999	87100	26.5	
-999	89000	26.1	
-999	91000	26.2	
-999	91600	26.5	
-999	92300	26.1	
-999	92900	26.4	
-999	93600	26.4	
-999	94200	26.5	
-999	94900	25.7	
-999	95600	26	
-999	96200	26	
-999	97800	25.3	
-999	99400	26.8	
-999	101300	26.5	
-999	103300	26.9	
-999	105200	26.8	
-999	107000	26.6	
-999	108900	26.7	
-999	110800	26.9	
-999	114100	27.4	
-999	117300	27.2	
-999	120600	27.5	
-999	123800	27.6	
-999	125300	27.5	
-999	126800	27.4	
-999	128300	27.3	
-999	129800	27	
-999	130700	27.3	
-999	131600	26.4	
-999	132500	26.9	
-999	133400	26.8	
-999	134200	27	
-999	135100	25.8	
-999	137300	27	
-999	139500	26.7	
-999	143800	26.3	
-999	148200	25.7	
-999	152600	25.6	
