# South China Sea 350KYr Leaf Wax Deuterium and SST Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/17265
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/thomas2014/thomas2014.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#---------------------------------------
# Contribution_Date
#    Date: 2014-10-17
#---------------------------------------
# Title
#    Study_Name: South China Sea 350KYr Leaf Wax Deuterium and SST Data
#---------------------------------------
# Investigators
#      Investigators: Thomas, E.K.; Clemens, S.C.; Prell, W.L.; Herbert, T.D.; Huang, Y.; Liu, Z.; Sinninghe Damste, J.S.; Sun, Y.; Wen, X. 
#---------------------------------------
# Description and Notes
#       Description: Leaf wax hydrogen isotope record from the South China Sea for 350KYrBP to 66KYrBP, plus sea surface temperature reconstructions
#	computed via TEX, UK, and d2H leaf wax. 
#	NOTE:  This file updated 11/23/2015 to add UK'37 and TEX86 data omitted from the original data submission.  All other data unchanged. 
#---------------------------------------
# Publication
# Authors: Elizabeth K. Thomas, Steven C. Clemens, Warren L. Prell, Timothy D. Herbert, Yongsong Huang, Zhengyu Liu, Jaap S. Sinninghe Damste, Youbin Sun and Xinyu Wen 
# Published_Date_or_Year: 2014-10-17
# Published_Title: Temperature and leaf wax d2H records demonstrate seasonal and regional controls on Asian monsoon proxies
# Journal_Name: Geology
# Volume: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1130/G36289.1 
# Abstract: Orbital-scale precipitation isotope records can elucidate climate forcing mechanisms and provide benchmarks for climate model validation. The ability to differentiate the influence of temperature, seasonality, and vapor transport history on precipitation isotope proxies is critical to both objectives. We present a 300 k.y. leaf wax hydrogen isotope record from the South China Sea with the effects of local condensation temperature removed (d2Hwax-T). d2Hwax-T reflects annually integrated precipitation d2H in the Pearl River catchment of southeast China. Depleted d2Hwax-T lags minimum precession (Pmin) by 1.0 +/- 0.7 k.y., reflecting the influence of maximum summer insolation and minimum winter insolation, with a minor influence of global ice volume, which lags Pmin by 3.3 +/- 0.4 k.y. In contrast, annually integrated cave d18O minima in central China, 1000 km north of our site, lag Pmin by 2.7 +/- 0.3 k.y., in phase with ice volume minima. This phase indicates that precipitation d18O in central China is more strongly influenced by ice volume forcing at the precession band, with a lesser influence of Northern Hemisphere insolation. Our new d2Hwax-T data demonstrate that precipitation isotopes in Asia have strong regional variability. Interpreting water isotope records within the context of regionally varying temperature, seasonality, and sensitivity to changing glacial boundary conditions is imperative to understanding Asian hydroclimatic change. 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: AGS-1002504 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: European Union-European Research Council
#    Grant: 226600
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Chinese Academy of Sciences
#    Grant: KZZD-EW-TZ-03
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Natural Science Foundation of China
#    Grant: 41130105
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Chinese Ministry of Science and Technology
#    Grant: 2012CB955203
#---------------------------------------
# Site Information
# Site_Name: ODP1146
# Location: Ocean>Pacific Ocean>Western Pacific Ocean>South China Sea
# Country: 
# Northernmost_Latitude: 19.45
# Southernmost_Latitude: 19.45
# Easternmost_Longitude: 116.27
# Westernmost_Longitude: 116.27
# Elevation: -2091
#---------------------------------------
# Data_Collection
#   Collection_Name: Thomas2014
#   First_Year: 350700
#   Last_Year: 66950
#   Time_Unit: cal yr BP
#   Core_Length: 62.195
#   Notes: 
#---------------------------------------
# Chronology: 
# On age model from Caballero-Gill et al. 2012, Paleoceanography, v. 27 no. 2.
#
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## Site_Hole  Location and drill core, , , , ,, , ,C
## core_type  collection method, , , , ,, , ,C
## section  section in the core, , , , ,Paleoceanography, , ,N
## depth_cm  depth center of sample interval in the core section, , ,cm, ,Paleoceanography, , ,N
## depth_top	depth top of sample interval, , ,cm, ,Paleoceanography, , ,N
## depth_bottom  depth bottomof sample interval, , ,cm, ,Paleoceanography, , ,N
## depth_m  Depth revised meters composite depth 2009 of the sample, , ,m, ,Paleoceanography, , ,N
## age_calkaBP	age, , ,thousand years BP, ,Paleoceanography,RA Age 2012 Age model from Caballero-Gill et al. 2012, Paleoceanography, v. 27, no. 2, ,N
## d2Hwax  delta 2H,C28 n-alkanoic acid, ,per mil VSMOW,annual,Paleoceanography, ,analytical technique: isotope ratio mass spectrometry,N
## d2Hwax_err  delta 2H,C28 n-alkanoic acid,one standard deviation,per mil VSMOW, ,Paleoceanography, ,analytical technique: isotope ratio mass spectrometry,N
## UK37  UK'37 index, Alkenones, , , annual, Paleoceanography, , analytical technique: gas chromatography,N
## sst-uk  Sea Surface Temperature,Alkenones, ,Degrees celcius,annual,Paleoceanography, ,analytical technique: gas chromatography,N
## TEX86  TEX86 index, Glycerol dialkyl glycerol tetraethers, , , annual,Paleoceanography, , analytical technique: liquid chromatography-mass spectrometry,N
## sst-tex  Sea Surface Temperature,Glycerol dialkyl glycerol tetraethers, ,Degrees celcius,annual,Paleoceanography, ,analytical technique: liquid chromatography,N
## d2Hwax-Uk-SST  delta 2H with effects of alkenone-inferred temperature removed,C28 n-alkanoic acid and alkenones, ,per mil VSMOW,annual,Paleoceanography, , ,N
## d2Hwax-T-Uk-err  delta 2H with effects of alkenone-inferred temperature removed,C28 n-alkanoic acid and alkenones,one standard deviation propagated through all mathematical steps (see manuscript for details),per mil VSMOW,annual,Paleoceanography, , ,N
## d2Hwax-TEX-SST  delta 2H with effects of TEX-inferred temperature removed,C28 n-alkanoic acid and Glycerol dialkyl glycerol tetraethers, ,per mil VSMOW,annual,Paleoceanography, , ,N
## d2Hwax-T-TEX-err  delta 2H with effects of TEX-inferred temperature removed,C28 n-alkanoic acid and Glycerol dialkyl glycerol tetraethers,one standard deviation propagated through all mathematical steps (see manuscript for details),per mil VSMOW,annual,Paleoceanography, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NaN
Site_Hole	core_type	section	depth_cm	depth_top	depth_bottom	depth_m	agecalkaBP	d2Hwax	d2Hwax_err	UK37	sst-uk	TEX86	sst-tex	d2Hwax-Uk-SST	d2Hwax-T-Uk-err	d2Hwax-TEX-SST	d2Hwax-T-TEX-err
1146C	2H	4	5.5	4	7	15.66	66.95	-162.49	1.79	0.80	22.92	0.62	24.19	-153.70	3.26	-158.39	3.26
1146C	2H	4	28	27	29	15.88	67.77	-167.89	0.06	0.81	23.15	0.63	24.74	-159.92	2.72	-165.80	2.72
1146C	2H	4	55	53.5	56.5	16.15	68.76	-168.92	1.45	0.81	23.07	0.63	24.77	-160.67	3.08	-166.95	3.08
1146C	2H	4	78	77	79	16.38	69.60	-168.14	2.77	0.81	23.31	0.64	25.22	-160.77	3.88	-167.84	3.88
1146C	2H	4	104.5	103	106	16.65	70.56	-167.60	1.02	0.83	23.86	0.63	25.11	-162.26	2.91	-166.89	2.91
1146C	2H	4	128	127	129	16.88	71.46	-164.05	0.72	0.85	24.46	0.63	24.75	-160.94	2.81	-162.01	2.81
1146C	2H	5	5.5	4	7	17.16	72.57	-166.11	1.49	0.82	23.58	0.64	25.42	-159.75	3.10	-166.56	3.10
1146C	2H	5	28	27	29	17.38	73.57	-170.54	1.41	0.82	23.62	0.61	24.05	-164.33	3.06	-165.91	3.06
1146C	2H	5	54.5	53	56	17.65	74.85	-162.47	2.46	0.86	24.80	0.66	26.16	-160.63	3.67	-165.64	3.67
1146C	2H	5	70	69	71	17.80	75.60	-163.12	0.51	0.85	24.46	0.65	25.76	-160.02	2.77	-164.84	2.77
1146C	2H	5	87	86	88	17.97	76.43	-168.39	1.52	0.82	23.64	0.64	25.37	-162.24	3.12	-168.64	3.12
1146C	2H	5	105	103.5	106.5	18.15	77.30	-158.79	0.71	0.85	24.39	0.65	25.77	-155.42	2.81	-160.52	2.81
1146C	2H	5	120	119	121	18.30	78.03	-156.31	3.35	0.85	24.48	0.65	25.83	-153.30	4.32	-158.28	4.32
1146C	2H	5	137	136	138	18.47	78.86	-157.45	0.62	0.87	25.07	0.65	25.88	-156.59	2.79	-159.60	2.79
1146C	2H	6	6	4.5	7.5	18.66	79.86	-154.43	1.36	0.89	25.53	0.66	26.09	-155.27	3.04	-157.34	3.04
1146C	2H	6	21	20	22	18.81	80.78	-158.58	1.39	0.89	25.68	0.66	26.37	-159.99	3.05	-162.55	3.05
1146C	2H	6	38	37	39	18.98	81.81	-157.93	1.41	0.89	25.78	0.66	26.43	-159.72	3.06	-162.12	3.06
1146C	2H	6	70	69	71	19.30	83.75	-161.12	0.70	0.85	24.50	0.64	25.28	-158.18	2.81	-161.04	2.81
1146C	2H	6	87	86	88	19.47	84.64	-166.15	1.14	0.84	24.01	0.62	24.59	-161.37	2.95	-163.52	2.95
1146C	2H	6	104.5	103	106	19.65	85.49	-169.32	1.41	0.83	23.95	0.64	25.18	-164.32	3.07	-168.88	3.07
1146C	2H	6	120	119	121	19.80	86.24	-167.22	0.63	0.81	23.26	0.62	24.46	-159.67	2.79	-164.12	2.79
1146C	2H	6	139	138	140	19.99	87.18	-172.39	2.14	0.81	23.32	0.62	24.21	-165.05	3.46	-168.38	3.46
1146C	2H	7	6	4.5	7.5	20.16	88.10	-168.68	1.53	0.83	23.97	0.63	25.06	-163.76	3.12	-167.80	3.12
1146C	2H	7	8.5	7.5	9.5	20.19	88.25	-167.32	0.61	0.84	24.12	0.63	24.89	-162.95	2.79	-165.81	2.79
1146C	2H	7	21	20	22	20.31	89.01	-165.53	2.96	0.86	24.72	0.64	25.23	-163.38	4.02	-165.26	4.02
1146C	2H	7	38	37	39	20.48	90.04	-161.45	1.32	0.87	24.99	0.65	25.75	-160.29	3.02	-163.11	3.02
1146B	3H	2	6	4.5	7.5	20.66	91.14	-156.32	1.94	0.86	24.81	0.62	24.64	-154.50	3.34	-153.87	3.34
1146B	3H	2	20.3	19.3	21.3	20.80	92.02	-159.16	1.09	0.87	24.95	0.65	25.63	-157.88	2.93	-160.36	2.93
1146B	3H	2	36.6	35.6	37.6	20.97	92.99	-156.93	1.60	0.88	25.21	0.65	25.64	-156.60	3.16	-158.19	3.16
1146B	3H	2	55	53.5	56.5	21.15	94.11	-152.26	2.09	0.87	25.11	0.66	26.06	-151.56	3.43	-155.08	3.43
1146B	3H	2	69.3	68.3	70.3	21.29	94.99	-154.04	0.93	0.87	25.13	0.64	25.20	-153.42	2.87	-153.65	2.87
1146B	3H	2	88.5	87	90	21.49	96.14	-155.76	2.00	0.87	24.91	0.66	26.30	-154.32	3.38	-159.48	3.38
1146B	3H	2	105	103.5	106.5	21.65	97.14	-147.97	1.40	0.87	24.89	0.66	26.13	-146.46	3.06	-151.04	3.06
1146B	3H	2	119.3	118.3	120.3	21.79	98.02	-154.82	2.63	0.89	25.53	0.65	25.79	-155.66	3.78	-156.64	3.78
1146B	3H	2	128	127	129	21.88	98.61	-147.99	1.02	0.90	25.79	0.66	26.45	-149.82	2.90	-152.23	2.90
1146B	3H	2	139.5	138.5	140.5	22.00	99.48	-150.52	0.43	0.89	25.71	0.65	25.87	-152.05	2.75	-152.65	2.75
1146B	3H	3	5.5	4	7	22.16	100.75	-150.47	1.26	0.90	26.03	0.67	26.52	-153.18	3.00	-154.99	3.00
1146B	3H	3	21	20	22	22.31	102.01	-149.89	2.79	0.90	25.96	0.66	26.32	-152.35	3.90	-153.68	3.90
1146B	3H	3	38	37	39	22.48	103.39	-157.55	2.52	0.89	25.68	0.66	26.43	-158.95	3.71	-161.73	3.71
1146B	3H	3	55.5	54	57	22.66	104.77	-156.62	0.51	0.86	24.62	0.65	25.83	-154.11	2.77	-158.59	2.77
1146B	3H	3	70	69	71	22.80	105.88	-158.74	1.65	0.86	24.86	0.63	24.77	-157.11	3.18	-156.79	3.18
1146B	3H	3	87	86	88	22.97	107.16	-160.06	0.74	0.88	25.36	0.66	26.19	-160.28	2.82	-163.36	2.82
1146B	3H	3	105	103.5	106.5	23.15	108.29	-158.36	1.76	0.88	25.47	0.65	25.72	-158.97	3.24	-159.93	3.24
1146B	3H	3	120	119	121	23.30	109.31	-158.46	0.71	0.88	25.42	0.66	26.45	-158.89	2.81	-162.74	2.81
1146B	3H	3	137	136	138	23.47	110.63	-159.22	0.83	0.84	24.18	0.63	24.92	-155.06	2.84	-157.81	2.84
1146B	3H	4	5	3.5	6.5	23.65	112.24	-157.75	2.78	0.84	24.22	0.63	24.90	-153.74	3.89	-156.28	3.89
1146B	3H	4	20	19	21	23.80	114.29	-149.04	0.46	0.87	25.16	0.64	25.39	-148.52	2.76	-149.36	2.76
1146B	3H	4	37	36	38	23.97	116.55	-149.05	1.76	0.88	25.48	0.65	25.90	-149.71	3.24	-151.29	3.24
1146B	3H	4	55	53.5	56.5	24.15	118.32	-149.08	2.19	0.89	25.65	0.65	25.91	-150.38	3.50	-151.34	3.50
1146B	3H	4	71	70	72	24.31	119.65	-146.36	0.51	0.92	26.40	0.67	26.66	-150.44	2.77	-151.39	2.77
