# NOAA Paleoclimatology Program - Paleocean Site Data
# tr163-22_sytr-tab.txt
# SYNTRACE data only
# File Created: 27-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      TR163-22
# Latitude:       0.31.00N	( 0.51667)
# Longitude:      92.24.00W	( -92.4)
# Water Depth(m): 2830
#
# Publications:
#   Lea, D.W., D.K. Pak, C.L. Belanger, H.J. Spero, M.A. Hall, and N.J. Shackleton.
#     2006. Paleoclimate history of Galápagos surface waters over the last 135,000
#     yr. Quaternary Science Reviews, 25(11-12), 1152-1167.
#------------------
#
# Description & Notes:
#   Galapagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction
#   Mg/Ca is corrected for Al-silicated contamination as described in Lea et al.,
#   2005, G^3.
#
# TR163-22 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-            Material    Thickness    Lab Num.     Notes
#  1           1560          60            60           n. dutertrei     2          22382         Calendar age 1040 +/- 85
#  43.5        6190          40            40           n. dutertrei     1          59169         Calendar age 6550 +/- 70
#  89          10990         40            40           n. dutertrei     2          59170         Calendar age 12500 +/- 125
#  139         14640         40            40           n. dutertrei     2          59171         Calendar age 16890 +/- 205
#  189         18770         60            60           n. dutertrei     2          59172         Calendar age 21795 +/- 220
#  249         23580         90            90           n. dutertrei     2          59173         Calendar age 27640 +/- 200
#  319         32130         280           280          n. dutertrei     2          94703         Calendar age 36970 +/- 370
#  335         30500         230           230          n. dutertrei     2          94702         Calendar age 35230 +/- 240
#  399         42970         1050          1050         n. dutertrei     2          94704         Calendar age 46240 +/- 1670
# 
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             Mg/Ca-g.rub-w Magnesium/Calcium ratio (Globigerinoides ruber, white)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#
# CORE: TR163-22
depth	calyrBP 	Mg/Ca-g.rub-w	sst-mg/ca	
2	1200	2.467	24.1	
6	1700	2.635	24.8	
8	2000	2.539	24.4	
10	2300	2.416	23.9	
12	2600	2.576	24.6	
16	3100	2.347	23.6	
18	3400	2.502	24.3	
20	3700	2.36	23.6	
22	4000	2.493	24.2	
26	4500	2.443	24	
28	4800	2.538	24.4	
30	5000	2.448	24	
32	5300	2.587	24.6	
36	5800	2.435	24	
38	6100	2.517	24.3	
40	6300	2.43	23.9	
42	6600	2.446	24	
46	7100	2.534	24.4	
48	7300	2.517	24.3	
50	7600	2.523	24.4	
52	7800	2.537	24.4	
56	8300	2.624	24.8	
58	8500	2.47	24.1	
60	8800	2.478	24.2	
62	9000	2.507	24.3	
66	9500	2.618	24.8	
68	9700	2.532	24.4	
70	9900	2.605	24.7	
72	10200	2.72	25.2	
76	10600	2.615	24.8	
78	10800	2.557	24.5	
80	11100	2.599	24.7	
82	11300	2.815	25.6	
86	11700	2.636	24.8	
88	12000	2.543	24.4	
90	12200	2.445	24	
92	12400	2.452	24	
96	12800	2.432	24	
98	13000	2.373	23.7	
100	13200	2.488	24.2	
102	13500	2.456	24.1	
106	13900	2.412	23.9	
108	14100	2.57	24.6	
110	14300	2.499	24.3	
112	14500	2.273	23.2	
116	14900	2.613	24.7	
118	15100	2.47	24.1	
120	15300	2.489	24.2	
122	15500	2.51	24.3	
126	15900	2.497	24.2	
128	16100	2.535	24.4	
130	16300	2.337	23.5	
132	16500	2.428	23.9	
136	16900	2.28	23.2	
138	17100	2.04	22	
140	17300	2.21	22.9	
142	17500	2.351	23.6	
144	17700	2.32	23.4	
146	17900	2.415	23.9	
148	18100	2.313	23.4	
150	18200	2.193	22.8	
152	18400	2.162	22.6	
154	18600	2.27	23.2	
156	18800	2.143	22.5	
158	19000	2.138	22.5	
160	19200	2.175	22.7	
162	19400	1.987	21.7	
164	19600	2.232	23	
166	19800	1.936	21.4	
168	20000	2.129	22.5	
170	20100	2.154	22.6	
172	20300	2.009	21.8	
174	20500	2.153	22.6	
176	20700	2.206	22.9	
178	20900	2.319	23.4	
180	21100	2.193	22.8	
182	21300	2.183	22.8	
184	21500	2.065	22.1	
186	21700	2.257	23.1	
188	21800	2.088	22.3	
190	22000	2.029	21.9	
192	22200	1.987	21.7	
194	22400	1.989	21.7	
196	22600	2.083	22.2	
198	22800	2.05	22.1	
200	23000	2.203	22.9	
202	23100	2.152	22.6	
204	23300	2.294	23.3	
206	23500	2.369	23.7	
208	23700	2.343	23.5	
210	23900	2.324	23.4	
212	24100	2.344	23.5	
214	24300	2.135	22.5	
216	24500	2.272	23.2	
218	24700	2.168	22.7	
220	24800	2.181	22.7	
221	24900	2.035	22	
223	25100	2.101	22.3	
225	25300	2.159	22.6	
227	25500	1.981	21.7	
229	25700	2.181	22.7	
231	25900	2.057	22.1	
233	26100	2.162	22.6	
235	26300	2.429	23.9	
237	26500	2.115	22.4	
239	26700	2.03	21.9	
241	26900	2.082	22.2	
243	27100	2.045	22	
245	27300	2.043	22	
247	27500	2.016	21.9	
249	27600	2.007	21.8	
251	27800	2.101	22.3	
253	28000	2.103	22.3	
255	28200	2.171	22.7	
257	28400	2.274	23.2	
259	28600	2.141	22.5	
261	28800	2.168	22.7	
263	29000	1.954	21.5	
265	29300	2.159	22.6	
267	29500	2.35	23.6	
269	29700	2.093	22.3	
271	29900	2.133	22.5	
273	30100	2.143	22.5	
275	30300	2.024	21.9	
277	30500	2.172	22.7	
279	30700	2.164	22.7	
281	30900	2.072	22.2	
283	31100	2.205	22.9	
