# NOAA Paleoclimatology Program - Paleocean Site Data
# v19-29p-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      V19-29
# Latitude:       3.34.00S	( -3.56667)
# Longitude:      83.13.00W	( -83.21667)
# Water Depth(m): 3157
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             seasdif       August to February SST difference (C)
#             spong.sp%     Spongurus sp.-percent
#             sst           Sea Surface Temperature (C)
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#
# CORE: V19-29
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	seasdif	spong.sp%	sst	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	
11	1914.2	0	0.5	0.1243	0.12	0.37	0.0959	0.25	0	0.12	0	0.8802	0.99	0.25	4.08	2.6	0.74	0.74	0.2276	0.74	0.5	-0.0833	0.87	1.85	0.99	2.23	0.37	2.1	0.37	0.25	0.25	1.23	0.12	2.47	0.87	0.37	3.84	0.37	807	5.7	0.12	0	0.12	1.98	5.29	0	22.89	13.2	0.62	0.12	0.4064	0.7947	-0.0052	
20	3734.6	0	0.37	0.1289	0	0.25	0.0834	0.62	0	0	0	0.8438	0.62	0	3.74	2.24	0.37	0.37	0.2211	0.37	0.75	-0.0342	1.12	2.12	1.87	1.49	0.25	2.24	0.5	0.5	0.5	0.87	0.25	2.37	0.75	0.62	3.87	0.5	801	4.36	0	0.75	0.25	1	5.18	0	22.3	10.9	0.12	0	0.4007	0.7808	0.003	
32	5859.4	0	0.87	0.1467	0.25	0.12	0.1102	0.12	0	0.25	0	0.8295	0.62	0	3.34	1.24	0.99	0	0.2908	0.37	0.87	-0.0651	0.25	1.73	0.87	1.86	0	0.74	0.74	0.87	0.62	0.5	0.62	3.1	0.62	0.5	2.85	0.37	806	2.85	0	0.74	0	1.98	3.59	0	23.27	12.2	1.11	0.12	0.3455	0.7584	-0.1122	
40	7123.9	0	0.99	0.1753	0	0.5	0.1268	0.25	0	0.12	0	0.8325	0.37	0	4.59	2.36	0.62	0	0.2207	0.37	0.87	0.0019	0.5	1.24	1.24	0.87	0.25	1.49	0.25	0.62	0.25	0.75	0.5	2.36	0.87	0.87	4.09	0.12	805	5.59	0.12	1.36	0	2.11	4.01	0	22.73	10.8	0.87	0.25	0.3578	0.779	-0.0444	
52	8787.9	0	0.87	0.1166	0.12	0.62	0.0417	0.12	0	0.12	0	0.8629	0.87	0.25	3.49	2.86	1	0.5	0.2105	0.5	0.62	-0.0655	0.37	1.62	0.5	1.24	0	1.99	0.62	0.37	0.62	1.24	0	2.61	1.62	0.62	3.49	0	802	5.98	0.12	0.37	0.12	0.37	4.02	0	23.16	11	0.75	0.25	0.3587	0.8147	-0.0811	
62	10011.5	0	0.74	0.1169	0.12	0.25	0.0937	0.25	0	0.12	0	0.7765	1.11	0.25	4.81	3.33	1.6	0.25	0.161	0.74	0.49	-0.0733	0.49	2.59	1.11	1.97	0.25	1.85	0.86	0.12	0.49	0.25	0.12	1.6	1.6	0.12	6.79	0	810	4.81	0.12	0.49	0	1.48	3.95	0	21.87	8.39	0.37	0	0.4021	0.7467	-0.0594	
72	11149.1	0	0.45	0.1549	0	0	0.0636	0	0	0	0	0.7733	1.5	0.15	4.95	2.1	0.3	0.15	0.2406	0.6	0.15	-0.0371	0.6	1.35	2.25	2.55	0	1.8	0.75	0.3	0.9	0.9	0.15	3	0.6	0	3.3	0	666	2.85	0.15	1.2	0	1.2	4.42	0	21.31	9.15	0.45	0.15	0.3982	0.7254	-0.0349	
82	12275.5	0	0.99	0.1213	0	0.37	0.0807	0.37	0	0	0	0.7579	1.23	0	4.8	3.57	1.1	0.74	0.1995	1.84	0.74	-0.0603	0.25	2.83	1.23	1.47	0.25	2.46	0.86	0	0.99	0.37	0.12	2.21	0.99	0	4.8	0.37	811	3.2	0	0.37	0.12	1.23	4.55	0	20.55	6.65	0.12	0	0.4499	0.6979	-0.0612	
91	13300	0	0.68	0.1491	0.17	0.17	0.139	0	0	0.17	0	0.7624	1.35	0	3.72	1.18	0.51	0.17	0.3452	1.69	0.34	-0.0515	0.17	1.18	2.03	0.68	0.51	1.52	0.68	0	0.68	0.51	0	3.72	1.01	0	3.21	0	591	1.86	0	0.17	0	1.52	4.52	0	21.85	6.09	0.68	0	0.3821	0.6704	-0.0604	
102	14595.8	0	1.07	0.1265	0	0.24	0.0421	0.12	0	0.12	0	0.6523	1.78	0	2.85	2.25	0.48	2.02	0.3048	2.14	0	-0.013	0	3.68	1.18	0.83	0.83	2.02	2.97	0	0.95	0.24	0.95	3.21	0.95	0	1.78	0.48	841	0.95	0	0.36	0	2.02	4.45	0	18.78	6.3	0.24	0	0.4536	0.5761	-0.0614	
