# NOAA Paleoclimatology Program - Paleocean Site Data
# vm28-122-tab.txt
# Complete Data
# File Created: 18-Jul-2011
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Matthew W. Schmidt
# Core/Site:      VM28-122
# Latitude:       11.34.00N	( 11.56667)
# Longitude:      78.25.00W	( -78.41667)
# Water Depth(m): 3623
#
# Publications:
#   Schmidt, M.W., H.J. Spero, and D.W. Lea. 2004. Links between salinity variation
#     in the Caribbean and North Atlantic thermohaline circulation.
#     Nature 428:160-163.
#------------------
#
# Description & Notes:
#   Caribbean Foraminiferal Mg/Ca, d18OCalcite, and Paleosalinity
#   Authors combine Mg/Ca paleothermometry with d18Ocalcite measurements on the planktic
#   foraminifera Globigerinoides ruber from two Caribbean cores and reconstruct d18Oseawater
#   variation (a proxy for salinity) during the last glacial cycle. We demonstrate
#   that Caribbean surface d18OSW oscillated between more positive values (saltier)
#   conditions during cold oxygen isotope stages (OIS) 2, 4, and 6 and modern values
#   during warm OIS 3 and 5.
#
# VM28-122 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-            Material    Thickness   Cal Age
#  2           3040          130           130          G. ruber white     2           2780
#  24.5        6170          190           190          G. ruber white     1           6617
#  48.5        9390          160           160          G. ruber white     1           10116
#  58.5        9930          45            45           G. ruber white     1           10798
#  74.5        12120         35            35           G. ruber white     1           13729
#  101         13240         240           240          G. ruber white     6           15383
#  123.5       15540         270           270          G. ruber white     1           17990
#  134         18730         480           480          G. ruber white     10           21657
# 
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Ocarb      delta O18 PDB Calcium Carbonate
#             d18Owater     delta O18 PDB (water)
#             Mg/Ca-g.rub-w Magnesium/Calcium ratio (Globigerinoides ruber, white) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca (C)
#
# CORE: VM28-122
depth	calyrBP 	d18Ocarb	d18Owater	Mg/Ca-g.rub-w	sst-mg/ca	
4	3130	-1.97	0.66	3.833	27.9	
6	3480	-1.91	-999	-999	-999	
8	3830	-1.88	-999	-999	-999	
10	4180	-1.73	0.79	3.65	27.3	
14	4870	-1.86	-999	-999	-999	
16	5220	-1.77	-999	-999	-999	
18	5570	-1.8	-999	-999	-999	
20	5920	-1.89	0.69	3.751	27.6	
22	6270	-1.63	-999	-999	-999	
24	6620	-1.83	-999	-999	-999	
26	6910	-1.96	0.66	3.817	27.8	
28	7200	-1.95	0.61	3.724	27.6	
30	7490	-1.8	-999	-999	-999	
32	7780	-1.6	0.9	3.627	27.3	
34	8070	-1.71	-999	-999	-999	
36	8370	-1.59	-999	-999	-999	
38	8660	-1.63	-999	-999	-999	
40	8950	-1.54	-999	-999	-999	
42	9240	-1.47	-999	-999	-999	
44	9530	-1.47	1.15	3.814	27.8	
46	9820	-1.5	1.12	3.819	27.8	
48	10120	-1.58	1.03	3.804	27.8	
50	10250	-1.57	-999	-999	-999	
52	10390	-1.57	0.94	3.65	27.3	
54	10530	-1.51	1.05	3.727	27.6	
56	10660	-1.32	1.29	3.81	27.8	
58	10800	-1.4	1.31	3.98	28.3	
60	11160	-1.36	1.36	3.993	28.3	
62	11530	-1.14	1.46	3.787	27.7	
64	11900	-1.27	1.38	3.88	28	
66	12260	-0.88	1.74	3.817	27.8	
68	12630	-0.77	1.74	3.642	27.3	
70	13000	-0.75	1.65	3.481	26.8	
72	13360	-0.84	1.76	3.782	27.7	
74	13730	-0.98	1.58	3.709	27.5	
76	13860	-0.75	1.78	3.676	27.4	
78	13980	-0.82	1.6	3.512	26.9	
80	14110	-0.76	1.81	3.742	27.6	
82	14240	-0.76	1.76	3.66	27.4	
84	14360	-0.83	1.76	3.772	27.7	
86	14490	-0.73	1.8	3.676	27.4	
88	14620	-0.54	2.04	3.768	27.7	
90	14750	-0.68	1.97	3.863	28	
92	14870	-0.47	2.08	3.712	27.5	
94	15000	-0.55	2.03	3.753	27.6	
96	15130	-0.39	2.18	3.739	27.6	
100	15380	-0.35	2.22	3.74	27.6	
102	15620	-0.19	2.37	3.715	27.5	
104	15850	-0.29	2.11	3.472	26.8	
106	16090	-0.31	2.02	3.373	26.5	
108	16330	-0.11	2.22	3.376	26.5	
110	16570	-0.18	2.11	3.314	26.3	
112	16800	-0.15	2.09	3.233	26	
114	17040	-0.2	-999	-999	-999	
116	17280	-0.24	-999	-999	-999	
118	17520	-0.09	2.29	3.43	26.6	
120	17750	-0.12	2.18	3.323	26.3	
122	17990	-0.2	-999	-999	-999	
124	18600	-0.1	2.14	3.246	26	
126	19210	-0.09	2.12	3.2	25.9	
128	19820	0	2.49	3.61	27.2	
130	20430	-0.09	2.32	3.487	26.8	
132	21050	-0.19	1.99	3.148	25.7	
134	21660	-0.18	2.06	3.237	26	
136	22400	-0.11	2.2	3.334	26.3	
138	23140	-0.26	2.04	3.324	26.3	
140	23880	-0.3	-999	-999	-999	
142	24620	-0.17	-999	-999	-999	
147	25360	-0.32	2.02	3.383	26.5	
152	25660	-0.33	-999	-999	-999	
157	25880	-0.28	2.03	3.337	26.3	
162	26700	-0.29	2.14	3.52	26.9	
167	27520	-0.4	2.08	3.584	27.1	
172	28340	-0.33	-999	-999	-999	
177	29150	-0.32	2.13	3.548	27	
182	29970	-0.39	2.02	3.494	26.8	
187	30790	-0.55	1.79	3.388	26.5	
192	31610	-0.47	1.88	3.41	26.6	
197	32430	-0.31	1.92	3.227	26	
202	33250	-0.36	2.11	3.589	27.1	
207	34060	-0.34	2.13	3.587	27.1	
212	34880	-0.41	2.06	3.576	27.1	
217	35700	-0.7	1.56	3.265	26.1	
222	36520	-0.45	1.81	3.264	26.1	
227	37020	-0.5	1.73	3.224	26	
232	37530	-0.65	1.5	3.112	25.6	
237	38030	-0.26	2.04	3.329	26.3	
242	38530	-0.75	1.58	3.372	26.5	
247	39030	-0.38	1.98	3.417	26.6	
252	39540	-0.56	1.73	3.313	26.3	
257	40040	-0.49	1.84	3.372	26.5	
262	40540	-0.58	1.84	3.504	26.9	
267	41040	-0.41	2.01	3.501	26.9	
