# NOAA Paleoclimatology Program - Paleocean Site Data
# vntr1-8-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      VNTR1-8
# Latitude:       0.02.00N	( 0.03333)
# Longitude:      110.29.00W	( -110.4833)
# Water Depth(m): 3791
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             seasdif       August to February SST difference (C)
#             spong.sp%     Spongurus sp.-percent
#             sst           Sea Surface Temperature (C)
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#
# CORE: VNTR1-8
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	seasdif	spong.sp%	sst	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	
2	880	0	1.5	0.158	0.5	1.37	0.0514	0.13	0	0.38	0.13	0.8729	0.13	0	3	1.12	1.75	0.13	0.2216	0	1.12	-0.0143	1.25	0	0.38	2.12	0.38	1.62	0.13	0	0.13	0.63	0.13	1.87	1.25	0.5	0.38	0	800	3.75	0	0.5	0.75	0.88	2.59	0.38	24.04	11.2	1	0.25	0.2745	0.8387	-0.1312	
7	3080	0	1.37	0.1471	0.87	1.37	0.0508	0	0	0.37	0	0.8676	0.62	0	2.74	0.87	1.87	0.12	0.201	0.37	1	-0.1547	1.49	1.99	0.12	1.87	0.12	0.87	0	0	0.12	0.5	0	2.37	1.49	0.12	0.75	0.25	801	6.11	0	0.87	0.75	0.37	1.07	0.5	25.5	9.11	1	0.37	0.2344	0.8413	-0.1276	
12	5280	0	1.24	0.148	1.24	1.24	0.0209	0.62	0	0.62	0.25	0.8203	0.5	0	2.74	0.37	1.87	0	0.2392	0.12	0.87	-0.0971	1.24	2.12	0.5	1.99	0.37	1.49	0	0	0.12	0.5	0.12	2.49	1.87	0.5	0.25	0.12	801	2.37	0.5	0.75	0.75	0.5	2.06	0.5	23.84	8.36	1.49	0.5	0.2659	0.8008	-0.1394	
17	7480	0	1.37	0.1296	0.63	1.5	0.0943	0.25	0	0.5	0.38	0.855	0.25	0.25	3.12	0.88	1.37	0	0.2151	0	0.75	-0.0583	1	1.5	0.63	2.25	0	1.75	0	0.13	0.25	0.25	0.13	2.12	1.25	0.25	1	0.13	800	3.12	0.38	0.13	0.75	1.37	3.01	0.75	23.99	9.5	0.63	0.38	0.3196	0.8163	-0.1058	
22	9680	0	1.62	0.1621	0.75	1.5	-0.0031	0.75	0	0.63	0.13	0.8759	0.38	0	2.12	0.88	0.88	0	0.2364	0.25	1	-0.1061	1.5	1.5	0.25	2.5	0	1.12	0.25	0.63	0.5	0.63	0.38	1.75	1	0.5	0.25	0.13	800	3	0.13	0.75	1	0.5	2.64	0.88	23.33	13	1.5	0	0.3213	0.8089	-0.1577	
27	11933.3	0	1.12	0.1772	0.5	1.75	0.0033	0.63	0	0.88	0	0.8619	0	0.13	1.5	1.25	2.5	0	0.2415	0.13	1	-0.0832	0.75	1.5	0.13	2	0.13	2.5	0.5	0.5	0.5	1.12	0.13	2.75	1.12	0	0.63	0.13	800	5.62	0.13	1.25	0.5	1.62	4.08	0.88	21.7	11	0.38	0	0.4087	0.7655	-0.1105	
32	14266.7	0	0.62	0.1817	0.62	1.24	0.0223	0.12	0	1.49	0.12	0.8768	0.25	0	2.49	0.87	1.86	0	0.2718	0	0.37	-0.0064	0.87	0.75	0.62	1.86	0.12	3.23	0.37	0.12	0.5	1.24	0.5	2.73	0.75	0.25	0.25	0	803	4.1	0.25	1	0.87	0.75	4.71	0.75	21.94	11.7	0.87	0	0.3929	0.7817	-0.0638	
37	16600	0	1	0.2367	0.88	1.37	0.0567	0.5	0	1	0.13	0.8547	0.25	0	2	1.62	1.5	0.13	0.2331	0.13	0.38	0.0222	0.75	0.75	0.75	1.75	0.25	3.75	0.63	0.13	0.5	0.25	0.13	1.87	0.38	0	0.63	0.13	800	5.12	0.13	1.12	0.75	2.12	4.67	1	20.86	12.5	1.5	0	0.4222	0.7486	-0.0449	
42	18480	0	0.5	0.1856	0	0.75	-0.0214	1	0	0.75	0	0.8933	0.5	0.12	1.37	1.49	1	0.25	0.3168	0.12	0.12	-0.029	0.12	1.37	0.25	1.87	0.37	3.24	0.62	0.25	0.5	1.24	0.5	2.49	1	0.12	0.12	0.25	801	3.24	0	0.62	0.75	1	5.22	0.5	20.69	12.1	1.24	0	0.4692	0.7306	-0.0563	
47	19680	0	0.74	0.1846	0.37	1.84	0.0141	0.37	0	0.86	0.12	0.8796	0.25	0	2.09	1.72	0.99	0.25	0.2979	0.25	0.25	-0.0572	0.37	2.71	1.23	3.69	0.49	4.06	0.62	0.12	0.86	1.1	0.62	1.84	0.86	0.12	0	0.37	811	4.31	0.25	0.37	0.74	1.72	5.56	1.72	20.6	14.5	0.86	0	0.4818	0.7219	-0.0033	
