# NOAA Paleoclimatology Program - Paleocean Site Data
# y69-106p-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      Y69-106P
# Latitude:       2.59.00N	( 2.98333)
# Longitude:      86.33.00W	( -86.55)
# Water Depth(m): 2870
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             seasdif       August to February SST difference (C)
#             spong.sp%     Spongurus sp.-percent
#             sst           Sea Surface Temperature (C)
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#
# CORE: Y69-106P
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	seasdif	spong.sp%	sst	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	
0	3716	0	0.38	0.1719	0.63	1.25	0.0024	0.25	0	0	0.13	0.9245	0.25	0	2.37	0.88	2	0	0.3174	0	1.75	-0.0462	0.5	1	0.75	0.75	0.25	1.12	0	1.25	0	2.75	0.5	0.38	1	0.5	0.38	0.5	800	3.25	0	0.38	0.38	0.88	2.86	1.12	24.63	21.8	1.87	0	0.2466	0.8413	-0.1533	
10	7415	0	0.75	0.1599	0.5	1.36	0.0959	0.37	0	0.37	0.12	0.9194	4.1	0.5	3.61	1	1.36	0.12	0.3198	0	1.12	-0.05	0.62	1	0.87	2.36	0	1.74	0.12	0	0.12	1.24	0	1	0.62	0.5	1.36	0	803	2.49	0.12	0.75	0.5	0.62	4.34	0.62	24.52	16.8	1	0	0.3241	0.8195	-0.0578	
20	11876	0	0.5	0.1717	1.37	2.5	0.0857	0.75	0	0.5	0	0.8702	0.13	0.13	3.25	0.63	1.25	0.63	0.3754	0.25	0.38	-0.0739	0	1.12	0.13	1.62	0.13	1.62	1	0.5	0.25	1.12	0	1.12	0.13	0.25	1.37	0.13	800	3.12	0.13	0.75	0.38	0.75	4.69	1.87	23.55	14.1	0.63	0	0.3485	0.752	-0.002	
40	20383	0	0.75	0.2003	1.99	6.73	0.0983	0.75	0	0.75	0	0.7659	1.24	0.25	2.61	0.25	1	0.62	0.4054	0.37	0.5	-0.148	0	0.87	0.75	2.49	0	1.74	0.75	0.12	0.37	1.12	0.62	2.61	0.12	0	0.62	0.75	802	2.74	0	0.5	0.12	1.49	3.74	1.12	22.2	8.72	2.74	0	0.3446	0.6382	-0.0618	
50	25631	0	0.99	0.1893	1.86	1.24	0.1129	0.12	0	0.25	0.25	0.8827	0.25	0	3.47	1.73	1.11	0.37	0.4552	0.37	0.87	0.0006	0.12	0.5	0.5	1.24	0.62	1.11	0.25	0.25	0.12	1.61	0.12	3.47	0.5	0.5	0.74	0.12	806	1.11	0	0.74	0	1.48	5.06	1.24	23.54	11.7	0.74	0	0.3389	0.6978	-0.1584	
60	31858	0	0.38	0.1696	1.75	3.37	0.1022	0.13	0	0.63	0	0.8653	0.38	0.25	3.87	1.37	1.37	0.13	0.5111	0.13	0	0.0495	0.13	0.5	1.12	0.63	0.25	1.5	0.88	0.88	0.25	1.37	0.13	3	0.63	0	0.13	0.38	800	1.12	0	0	0.13	1.5	5.41	1.12	23.95	13.7	1.75	0	0.303	0.672	-0.1381	
70	40183.8	0	0.62	0.195	1.12	3.98	0.0998	0.12	0	0.12	0	0.8331	0.37	0.37	6.1	1	0.87	0.37	0.4495	0.25	0.37	-0.0614	0	0.75	0.25	2.24	0.37	1.61	0.87	0.37	1	1.49	0.12	2.36	0.5	0.12	0.5	0.37	803	1.74	0	0.25	0	1.74	4.49	2.49	23.23	11.8	1.86	0	0.3413	0.6754	-0.0816	
80	48636	0	0.25	0.2001	1.49	3.62	0.1046	0.12	0	0.25	0	0.8375	0.37	0.12	5.61	0.5	0.87	0.62	0.4775	1	0.37	-0.0825	0	1.12	0.5	1.87	0.12	2.49	1	0	0.12	1.87	0	1.74	0.5	0.25	1.24	0.62	801	1	0.12	0.37	0.12	0.87	4.56	1.74	23.49	10.1	2.49	0	0.3358	0.6606	-0.05	
90	60091	0	0	0.196	1.62	4.24	0.1428	0.5	0	1.24	0.25	0.828	0.5	0	4.36	1.37	1.24	0.5	0.4108	1.24	0	-0.1011	0.25	1.24	0.87	1.62	0.25	1.49	1	0.62	0.25	1.74	0.5	1.24	0.5	0.12	2.24	1	801	1.74	0	0.62	0.25	1.37	5.22	2.74	21.35	7.99	1.49	0	0.4444	0.6247	-0.0508	
100	63542	0	0.25	0.1763	0.99	2.71	0.1059	0.37	0	1.1	0.12	0.8696	0.49	0.12	3.82	0.74	0.99	0.49	0.4797	0	0.62	-0.0792	0	0.86	0.49	2.34	0	1.84	1.84	0.25	0	2.83	0	1.84	0.62	0.12	0.25	0.25	811	2.09	0	0.37	0	1.72	5.05	2.34	23.27	10.6	1.47	0	0.3834	0.665	-0.0412	
