# NOAA Paleoclimatology Program - Paleocean Site Data
# y71-3-2-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      Y71-3-2
# Latitude:       7.17.00N	( 7.28333)
# Longitude:      85.15.00W	( -85.25)
# Water Depth(m): 2164
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             seasdif       August to February SST difference (C)
#             spong.sp%     Spongurus sp.-percent
#             sst           Sea Surface Temperature (C)
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#
# CORE: Y71-3-2
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	seasdif	spong.sp%	sst	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	
0	10408	0	0.74	0.1659	0.5	0.25	-0.0104	0	0	0.25	0	0.8399	0.12	0	2.35	0.12	2.97	0	0.2686	0.12	0.12	0.0632	0.5	0.37	0.37	0.12	0.25	8.43	0.37	0.37	0	2.35	0	1.86	0.37	0.25	0.37	0.12	806	10.7	0.12	0.12	0.25	0.37	4.5	0.87	22.83	16.7	0.37	0	0.2764	0.8077	0.086	
10	13226	0	0.74	0.1069	1.61	0.87	0.0783	0	0	0	0.12	0.826	0.25	0	2.85	0.12	0.74	0.12	0.366	0	0.37	-0.0542	0.12	0.74	0.25	0.25	0	1.85	0.5	0.25	0.25	1.11	0	2.47	0.5	0.25	1.85	0.25	807	3.34	0.12	0	0	0.12	3.26	0.5	25.34	7.55	0.25	0	0.2145	0.7897	-0.0434	
20	16682	0	0.93	0.1536	2.32	0.93	0.1755	0.12	0	0	0.23	0.7578	0	0	1.74	0.12	1.74	0.12	0.5274	0	0.58	0.1357	0.35	0.23	0.12	0.23	0	3.01	0.81	0	0.35	0	0	3.25	0.23	0	1.85	0.58	861	0	0	0.12	0.12	0.23	6.13	0.81	23.39	8.94	0.35	0	0.2229	0.5824	-0.1338	
30	20948	0	0.59	0.1576	1.89	0.35	0.0657	0	0	0	0.12	0.7977	0.12	0	3.07	0.12	1.06	0	0.3864	0	0.24	-0.091	0.35	0.24	0	0.59	0	2.12	0.95	0.12	0.35	2.36	0	2.95	0.47	0.12	0.95	0.71	846	3.19	0.12	0.12	0.24	0.47	3.55	1.06	24.05	5.43	0.59	0	0.2627	0.7356	-0.0275	
40	25011	0	0.6	0.1327	1.2	1.08	0.015	0	0	0.12	0.12	0.8154	0	0	1.69	0.12	1.81	0	0.4412	0	0.24	-0.0836	0	0.36	0.6	0.24	0.12	2.78	0.73	0	0.24	3.26	0	1.69	0.73	0.12	1.33	0.48	827	2.29	0	0	0	0	3.75	0.48	23.81	6.52	0.73	0	0.2846	0.7149	-0.0623	
50	28033	0	0.6	0.1418	1.19	0	0.0335	0.12	0	0.36	0.24	0.7932	0.24	0	1.55	0	1.31	0.12	0.5013	0	0.36	-0.027	0	0.6	0.24	0.24	0	2.74	0.48	0.36	0.48	2.62	0	3.57	0.84	0	0.36	1.31	838	0.95	0	0	0.12	0.24	4.37	1.19	23.13	5.6	0.48	0	0.3125	0.6389	-0.1186	
60	30731	0	1.2	0.1527	0.73	1.45	-0.0221	0	0	0	0.24	0.8161	0.12	0	3.26	0.36	0.97	0.12	0.4456	0	0	-0.0168	0.12	0.36	0	0.24	0	3.38	0.6	0.48	0.6	5.92	0	2.17	0.24	0.12	0.12	0.24	827	1.93	0	0	0.24	0.48	3.98	0.85	22.81	8.82	0.73	0	0.3129	0.7	-0.0743	
70	33423	0	0.25	0.1453	0.86	1.59	0.0363	0	0	0	0	0.7858	0.12	0	4.42	0.12	0.74	0	0.4511	0.12	0.12	0.0113	0	0.49	0.25	0.12	0	3.07	0.12	0.12	0.37	3.07	0	3.07	0.25	0.25	0.37	0.86	813	1.84	0	0.12	0	0.49	3.89	0.37	23.44	5.78	0.37	0	0.2753	0.6951	-0.0276	
80	36115	0	1.47	0.107	1.34	0.74	0.027	0	0	0.37	0.12	0.8071	0.25	0	3.31	0.61	2.2	0.74	0.3883	0.25	0	-0.0313	0.12	0.37	0	0.25	0.25	2.2	0.37	0.74	0.12	3.19	0	2.08	0.86	0	0.49	0.61	815	2.82	0	0	0	0.12	3.76	0.86	23.58	6.5	0.12	0	0.2855	0.7428	-0.0989	
90	38808	0	1.72	0.1555	1.84	1.23	-0.0063	0	0	0	0	0.8085	0.12	0	2.95	0.86	1.1	0.25	0.419	0	0.25	-0.0156	0.12	0.62	0.37	0.25	0.12	3.93	0.49	0.37	0.49	4.18	0	2.58	0.37	0	0.62	0.37	813	2.46	0.12	0	0	0.49	4.07	0.98	22.42	7.01	0.49	0	0.3334	0.6998	-0.0868	
100	41500	0	0.87	0.1401	2.48	0.87	0.0181	0	0	0.25	0.5	0.7908	0.62	0	3.23	0	1.24	0.12	0.462	0	0.12	0.0149	0.12	0.37	0.12	0	0	2.86	0.25	0.37	0.25	5.09	0	1.74	0.25	0.25	0.12	0.62	804	1.49	0	0.12	0	0.5	3.96	1	23.38	9.7	0.12	0	0.2741	0.6904	-0.073	
110	44192	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
110	44192	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
110	44192	-999	1.24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
110	44192	-999	0.97	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
110	44192	-999	-999	0.1608	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
110	44192	-999	-999	0.1641	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
110	44192	-999	-999	-999	2.24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
110	44192	-999	-999	-999	1.93	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
