# NOAA Paleoclimatology Program - Paleocean Site Data
# y71-6-12-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      Y71-6-12
# Latitude:       16.27.00S	( -16.45)
# Longitude:      77.34.00W	( -77.56667)
# Water Depth(m): 2734
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             seasdif       August to February SST difference (C)
#             spong.sp%     Spongurus sp.-percent
#             sst           Sea Surface Temperature (C)
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#
# CORE: Y71-6-12
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	seasdif	spong.sp%	sst	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	
5	784.8	0	0.25	0.2259	0.63	1.37	0.1465	1.12	0	1.25	0.25	0.9005	0.5	0	1.25	3.37	0.63	0	0.4416	0	0	0.2755	0	0.63	0.13	0.13	0.38	8.25	0.5	0.13	0.25	0.38	0.38	0.5	0	0	1	0.75	800	0.5	0	0.38	0	0.63	4.8	1.62	17.75	7.62	0.5	0	0.5844	0.4634	0.0295	
10	3065.8	0	0.63	0.1777	0	0.38	0.1321	0.75	0	1.37	0	0.8805	0	0	1.87	4	1.5	0.25	0.3442	0.38	0	0.2856	0.38	0.63	0.88	0	0.38	5.87	0.38	0.63	0.25	0	1.25	2.12	0.25	0	1	0.75	800	1.5	0.13	0.13	0	1.12	5.29	0.75	18.46	9.37	0.25	0	0.5193	0.6012	-0.0156	
15	5346.8	0	0.38	0.2289	0	0.25	0.2023	0.5	0	1.25	0	0.8883	0.13	0.13	2.62	2.5	0.63	0	0.4229	0	0	0.2837	0.63	0.5	0.25	0	0.13	5.37	0.38	0.13	0.25	0	0.5	1.37	0	0	0.5	1	800	1.5	0	0.25	0	1.25	4.25	4.75	19.76	11	0.38	0	0.4635	0.5599	0.0859	
20	7627.8	0	0.13	0.2118	0	0.25	0.161	0.75	0	1	0	0.9079	0.13	0	3.87	2.62	1	0	0.4642	0.38	0	0.3057	0.13	0.88	0.63	0	0.25	4.5	0.38	0	0.5	0.25	0.38	1.75	0.13	0	0.5	0	800	0.25	0.13	1	0	0.63	4.79	1.62	19.46	8	0.13	0	0.4936	0.5329	0.0228	
25	9908.8	0	0.25	0.1663	0.13	1	0.1559	0.88	0	0.75	0	0.8677	0	0	3.25	1.62	1.37	0	0.4869	0.13	0	0.2342	0.5	0.63	1.25	0.25	0.38	3.62	1	0.25	0.25	0.25	0.5	2.75	0	0	1.12	0.25	800	0.25	0	0.5	0	1	5.48	1.12	20.54	7.25	0	0	0.4551	0.5628	-0.0024	
30	12117	0	0.25	0.2343	0	0	0.1364	0.88	0	1.12	0.13	0.8976	0.13	0.38	2.62	5.5	0.88	0.25	0.3754	0.88	0	0.2902	0.5	0.75	1.5	0.13	0.5	6.75	0.38	0.25	0.63	0.38	0.38	1.5	0	0	0.88	0.5	800	0.5	0	0.88	0	1	4.6	2.5	17.42	7.37	0.13	0	0.584	0.5066	0.0367	
35	13559	0	0.13	0.1963	0.38	0.13	0.0918	0.38	0	2	0.25	0.8807	0.38	0	1.5	4.25	1.5	0	0.3468	0.13	0	0.28	0.25	1.37	0.25	0.13	0.63	7.25	0.38	0	1	0.38	0.88	1.25	0.5	0	0.63	0.63	800	0.88	0.25	1	0	0.13	5.04	1.12	17.12	6.62	0	0.13	0.6046	0.5191	-0.0011	
40	14863.6	0	0.5	0.1748	0	0.25	0.1279	0.63	0.25	3	0	0.8819	0.25	0	1.25	5.5	0.75	0.13	0.3837	1.75	0	0.1973	0	1.87	0.5	0.38	0.63	4.12	0.25	0.25	0.75	0.38	0.5	1.5	0	0	1.12	1.25	800	0.25	0.13	0.38	0	0.75	6.41	1.12	16.14	7.5	0.25	0	0.6686	0.4468	-0.0465	
45	16658.2	0	0.13	0.2233	0.13	0	0.0842	0.25	0	2.62	0	0.8644	0	0.13	1	3.37	1.12	0	0.3616	0.25	0	0.3055	0.75	1.37	0.75	0.13	0.13	6.75	0.13	0	0.63	0.25	0.5	1.87	0.25	0	0.38	0	800	0.13	0	0.75	0	1	4.97	1.87	16.3	5	0.13	0	0.6179	0.4477	-0.033	
50	18782.6	0	0	0.24	0	0	0.0224	0	0	2.37	0	0.8211	0	0	0.13	11.7	0.13	0	0.193	1.12	0	0.3389	0	1.75	0.5	0	0.13	10.7	0.13	0	0.75	0.13	1	0	0.13	0	0.63	0.13	800	0.25	0	0.63	0	0.75	4.59	2.87	13.79	2.37	0	0	0.74	0.2515	0.0093	
