# NOAA Paleoclimatology Program - Paleocean Site Data
# y719-101-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      Y71-9-101
# Latitude:       6.38.00S	( -6.63333)
# Longitude:      106.57.00W	( -106.95)
# Water Depth(m): 3175
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             seasdif       August to February SST difference (C)
#             spong.sp%     Spongurus sp.-percent
#             sst           Sea Surface Temperature (C)
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#
# CORE: Y71-9-101
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	seasdif	spong.sp%	sst	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	
2.5	1723.5	0	0.13	0.0498	0	0.13	-0.0133	0.25	0	0.5	0	0.8916	0.38	0.25	4.87	0.13	2.62	1.37	0.1444	0	1.5	-0.0147	0.5	1.12	0.75	0.75	0	1	0	1.12	0.25	1.37	0.25	0.13	4	0.88	0.25	0	800	3.12	0	0.5	1.37	0	1.5	0.13	25.72	18.2	0.13	0.25	0.1548	0.9112	-0.1162	
6	2336.8	0	0.12	0.1147	0.25	0.37	-0.0316	0.25	0	0.37	0.12	0.9299	0.74	0	6.18	0.62	2.22	0.25	0.1611	0.12	1.6	-0.0148	0.87	0.62	0.62	0.87	0.25	1.11	0	0.62	0	2.1	0.12	0.12	3.09	0.99	0	0.25	809	3.7	0	0.49	0.74	0.74	2.23	0.25	24.89	15	0.99	0.12	0.2085	0.9083	-0.1452	
11	3422.4	0	0.12	0.091	0.25	0.62	-0.04	0	0	0.12	0.25	0.9311	1	0	5.11	1	2.87	0.37	0.1831	0.12	1.49	-0.0617	1.24	1	0.5	1.24	0.12	0.87	0	0.75	0	3.12	0	0.25	3.74	0.87	0.12	0.12	801	3.62	0	0.37	0.37	0.5	1.72	0.25	25.21	16.6	0.62	0.12	0.2055	0.9004	-0.1758	
16	4874.8	0	0.62	0.0749	0.12	0.37	-0.0465	0	0	0.25	0	0.9169	0.12	0.49	5.54	0.62	1.72	0.62	0.1791	0	2.83	-0.0119	1.23	1.72	0.62	1.35	0	1.23	0	0.12	0.37	1.72	0.12	0.25	1.97	1.23	0.12	0.25	811	2.21	0	0.12	0.12	0.49	2.82	0.25	24.6	17.8	0.62	0.62	0.2198	0.8998	-0.1374	
21	6405.8	0	0.25	0.0897	0	0.25	0.0083	0	0	0.25	0.12	0.8781	0.5	0.62	4.61	0.87	4.61	0.12	0.1907	0.12	1.12	0.0194	0.5	1.24	0.75	2.24	0.12	1.62	0	1	0	1.12	0.25	0.5	3.24	1.37	0.25	0	802	2.61	0.12	0.62	0.62	0.25	2.72	0.25	24.47	17.7	0.37	0.37	0.2283	0.8773	-0.1072	
27	8240.3	0	0	0.0899	0	0.12	-0.0725	0.25	0	0.25	0	0.89	0.75	0.12	3.62	1.24	3.49	0.12	0.1711	0	1.87	0.1185	0.87	0.87	0.37	0.5	0.12	1.37	0.25	1	0.12	1.99	0.12	0.12	1.24	2.74	0.25	0.12	801	1.87	0	0.87	0.62	0.25	3.86	0.12	22.96	22.5	0.25	0.75	0.2279	0.8772	-0.1095	
32	9754	0	0.25	0.0663	0	0.25	-0.0178	0.25	0	0.75	0	0.8977	0.5	0	4.74	0.75	4.11	0.62	0.1379	0	2.12	0.0774	0.62	0.87	0.75	0.62	0	1.24	0	0.62	0.12	1	0.37	0.12	2.74	1.74	0	0.12	801	3.12	0	0.62	1.24	0	2.26	0.12	24.56	20.4	0.25	0.62	0.1831	0.9058	-0.1182	
37	11253.6	0	0	0.1076	0.12	0.12	0.0047	0	0	0.25	0	0.9098	0.37	0.12	5.84	0.87	1.61	0.75	0.1629	0	1.61	0.1554	0.5	0.87	0.12	0.37	0	2.11	0.25	0.12	0	0.37	0.12	0.25	1.74	2.61	0.37	0	804	2.98	0	0.62	0.75	0.12	2.63	0.62	24.32	24.7	0.37	0.37	0.1737	0.9029	-0.047	
42	12726.6	0	0.38	0.1267	0.13	0.13	0.026	0.13	0	0.63	0	0.9115	0.25	0.5	5.25	0.63	4.25	0.75	0.2009	0	1.37	0.2046	0.75	0.25	0.75	0	0	1.5	0.13	0.88	0	0.38	0.13	0.38	1.25	0.88	0.25	0	800	1.5	0	0.75	0.38	1	1.77	0.25	23.54	22.8	0.63	0.13	0.1572	0.8735	-0.1573	
47	14176.8	0	0.13	0.1019	0	0.25	-0.0498	0.38	0	0.5	0	0.9153	0.13	0.25	5	1	3	0.25	0.1996	0.13	1.75	0.1692	0.25	0.5	0.13	0.25	0.25	2.12	0.25	1	0	1.25	0.25	0.13	1.5	1.37	0.13	0	800	1.62	0.13	0.63	0.75	0.63	3.78	0.13	22.49	22.8	0.25	0	0.2447	0.8681	-0.1432	
