Depth ice/snow [m],Gas age [ka BP],δ18O-O2 [‰]
1410.77,101.7452,-0.0101
1413.52,102.0217,-0.1229
1416.27,102.2834,0.0024
1419.02,102.5235,-0.0148
1421.77,102.7362,-0.106
1424.52,102.9648,0.021
1427.27,103.2464,0.0979
1432.77,103.831,0.0315
1435.52,104.1016,-0.0228
1438.27,104.4169,-0.1482
1441.02,104.7912,-0.131
1443.77,105.2162,-0.1263
1446.52,105.5661,0.0277
1449.27,105.8583,-0.0624
1452.02,106.1493,-0.0084
1454.77,106.4527,0.092
1460.27,107.0962,0.0772
1463.02,107.4556,0.3599
1465.77,107.8043,0.3925
1471.27,108.2452,0.5473
1474.02,108.4085,0.5251
1476.77,108.6518,0.6228
1479.52,108.9926,0.5232
1482.27,109.3713,0.525
1489.95,110.4896,0.5715
1490.52,110.5611,0.523
1492.7,110.8314,0.5751
1493.27,110.9088,0.5265
1494.9,111.1078,0.5896
1496.02,111.2474,0.5814
1497.1,111.3876,0.6332
1498.77,111.5893,0.6297
1499.85,111.7282,0.6376
1501.52,111.9279,0.5898
1502.05,111.9912,0.6585
1504.27,112.2674,0.5678
1504.8,112.336,0.6741
1507.02,112.6339,0.6423
1507.55,112.6988,0.6892
1509.77,112.975,0.6834
1510.3,113.0356,0.7469
1515.27,113.532,0.6949
1515.8,113.5866,0.6786
1518.02,113.8335,0.6544
1519.1,113.9536,0.6961
1520.77,114.1355,0.6513
1521.85,114.2599,0.6724
1523.52,114.4736,0.6118
1524.6,114.6145,0.6552
1526.27,114.8186,0.6035
1527.9,115.0184,0.6205
1529.02,115.1482,0.6334
1531.2,115.3823,0.6732
1531.77,115.439,0.5989
1534.5,115.6815,0.6383
1537.27,115.9306,0.6083
1537.8,115.9803,0.6027
1542.77,116.4893,0.5226
1544.95,116.6944,0.5534
1545.52,116.7446,0.5624
1548.25,116.9831,0.561
1548.27,116.9848,0.5188
1551.02,117.221,0.5457
1552.1,117.3139,0.4773
1553.77,117.4704,0.4429
1556.52,117.7452,0.5208
1559.25,118.0121,0.4451
1559.27,118.0142,0.3972
1562.02,118.2829,0.3855
1564.77,118.4836,0.3459
1566.4,118.5928,0.4087
1570.25,118.8627,0.4105
1573.02,119.1175,0.2941
1573.55,119.1699,0.2963
1577.4,119.55,0.2907
1578.52,119.6666,0.2121
1581.25,119.922,0.2935
1581.27,119.9236,0.2237
1584.02,120.1342,0.18
1585.65,120.2455,0.0976
1586.77,120.3185,0.1131
1588.95,120.4577,0.0664
1589.52,120.495,0.0422
1592.27,120.6742,-0.0209
1595.18,120.8638,-0.069
1596.65,120.967,-0.0636
1597.77,121.0495,-0.1152
1600.5,121.2864,-0.0358
1600.52,121.2881,-0.0458
1603.27,121.5201,-0.1688
1604.35,121.6055,-0.1076
1606.02,121.7281,-0.1769
1608.2,121.8689,-0.058
1608.77,121.9026,-0.2473
1611.52,122.0615,-0.238
1612.05,122.0932,-0.1867
1614.27,122.2333,-0.2598
1617.02,122.4305,-0.2603
1619.75,122.6184,-0.1686
1619.77,122.6196,-0.2351
1622.68,122.8003,-0.296
1623.6,122.858,-0.2166
1625.27,122.9618,-0.32
1628,123.1488,-0.2903
1628.02,123.1502,-0.3105
1630.77,123.3393,-0.3796
1631.85,123.4157,-0.3099
1633.52,123.5496,-0.3446
1635.7,123.737,-0.2576
1636.27,123.7872,-0.3942
1639.02,124.022,-0.2893
1639.55,124.0662,-0.2326
1641.77,124.2261,-0.374
1644.52,124.3952,-0.3476
1647.25,124.5633,-0.3809
1647.27,124.5646,-0.349
1650.21,124.7569,-0.3985
1651.1,124.8134,-0.4581
1652.77,124.9277,-0.3849
1654.95,125.0659,-0.3563
1655.52,125.098,-0.3738
1658.25,125.2656,-0.2672
1658.27,125.2669,-0.3635
1661.02,125.4584,-0.3041
1662.65,125.5771,-0.279
1663.77,125.6583,-0.3524
1667.05,125.8773,-0.2475
1669.27,126.0228,-0.3532
1670.9,126.1404,-0.1021
1672.02,126.2255,-0.272
1674.77,126.4636,-0.2091
1675.3,126.5123,-0.1501
1677.52,126.6986,-0.1778
1679.7,126.8555,-0.0721
1683.02,127.0914,-0.0436
1684.1,127.1843,-0.0784
1685.77,127.3308,0.0223
1688.5,127.5572,0.0406
1691.28,127.7506,0.122
1694.02,127.9304,0.1731
1696.77,128.1233,0.2031
1697.3,128.1596,0.2413
1699.52,128.3149,0.3532
1702.25,128.4853,0.4249
1702.27,128.4864,0.3938
1705.53,128.657,0.4567
1706.65,128.7163,0.5051
1707.77,128.7816,0.5
1710.5,128.9434,0.6898
1710.52,128.9445,0.5877
1713.27,129.0996,0.6669
1714.9,129.1908,0.8248
1716.02,129.2543,0.731
1718.77,129.4109,0.8651
1721.52,129.5721,0.8951
1722.6,129.6354,0.936
1724.27,129.7322,0.9086
1726.45,129.8597,0.98
1727.02,129.8938,0.9565
1729.77,130.0669,1.0164
1730.3,130.1004,1.0384
1732.7,130.25,0.9775
1733.6,130.3085,1.007
1735.27,130.4161,1.0357
1736.35,130.4817,0.9564
1738.02,130.5805,1.0114
1740.77,130.7299,0.9978
1742.4,130.8179,1.0642
1743.52,130.8866,1.0778
1745.15,130.9982,1.1394
1746.27,131.087,1.1727
1747.9,131.2245,1.0848
1749.02,131.3229,1.1448
1750.65,131.4623,1.1964
1751.77,131.5495,1.0837
1753.95,131.7056,1.1026
1754.52,131.7473,1.1402
1755.6,131.8299,1.1069
1758.35,132.0637,1.1179
1760.18,132.2577,1.0715
1761.1,132.3553,1.1139
1762.77,132.5311,1.0532
1764.95,132.7452,1.1163
1765.52,132.7977,1.1226
1766.6,132.9008,1.1933
1768.27,133.0713,1.063
1768.8,133.1299,1.0986
1770.45,133.3418,1.077
1772.1,133.5706,1.0914
1773.75,133.7903,1.1347
1773.83,133.8014,1.017
1775.4,134.0058,1.0859
1776.52,134.1547,1.0651
1777.05,134.2288,1.0926
1779.37,134.5588,0.991
1782,134.9706,1.0353
1782.02,134.974,1.0444
1783.65,135.2556,1.0766
1784.75,135.4514,1.0863
1784.77,135.455,1.0209
1784.84,135.4678,0.9927
1786.4,135.7665,1.022
1787.52,135.9945,1.0027
1787.58,136.0066,0.9685
1788.6,136.2126,1.0174
1789.15,136.318,1.0357
1790.42,136.5826,0.975
1791.9,136.8975,1.0636
1793.02,137.1055,0.9777
1795.83,137.5817,0.9745
1801.33,138.5366,0.915
1804.57,139.2037,0.934
1806.83,139.6653,0.923
