Depth(m),Age(kaBP),Deuterium(‰SMOW),dTemp(ºC)
6.6,0.038,-390.9,0.88
7.15,0.047,-385.1,1.84
7.7,0.055,-377.8,3.04
8.25,0.064,-394.1,0.35
8.8,0.073,-398.7,-0.42
9.35,0.082,-395.9,0.05
9.9,0.091,-395.9,0.05
10.45,0.1,-399.3,-0.52
11,0.11,-391.4,0.79
11.55,0.119,-399.5,-0.55
12.1,0.129,-402.9,-1.11
12.65,0.14,-393.9,0.38
13.2,0.15,-398.6,-0.4
13.75,0.161,-389.8,1.05
14.3,0.171,-394.5,0.28
14.85,0.181,-400.5,-0.72
15.4,0.191,-403.6,-1.23
15.95,0.202,-393.1,0.51
16.5,0.212,-410.9,-2.44
17.05,0.223,-393.6,0.42
17.6,0.234,-391.1,0.84
18.15,0.245,-391.9,0.71
18.7,0.255,-396.3,-0.02
19.25,0.267,-397,-0.14
19.8,0.278,-404.7,-1.41
20.35,0.289,-398.2,-0.34
20.9,0.301,-395.2,0.16
21.45,0.312,-403.5,-1.22
22,0.324,-398.6,-0.41
22.55,0.336,-399.7,-0.59
23.1,0.347,-396,0.03
23.65,0.359,-400.2,-0.67
24.2,0.371,-401.6,-0.9
24.75,0.383,-405.4,-1.53
25.3,0.395,-399,-0.47
25.85,0.407,-396.9,-0.12
26.4,0.419,-394.9,0.21
26.95,0.43,-406.6,-1.73
27.5,0.442,-395.2,0.16
28.05,0.454,-395.3,0.14
28.6,0.466,-399.5,-0.56
29.15,0.478,-401,-0.8
29.7,0.49,-393.6,0.42
30.25,0.503,-410.4,-2.36
30.8,0.516,-401.3,-0.85
31.35,0.529,-398.3,-0.36
31.9,0.542,-388.5,1.26
32.45,0.555,-391.9,0.7
33,0.568,-400.8,-0.77
33.55,0.581,-387.7,1.4
34.1,0.594,-401.4,-0.87
34.65,0.606,-401,-0.81
35.2,0.619,-387.3,1.46
35.75,0.632,-390.2,0.98
36.3,0.645,-394.5,0.27
36.85,0.658,-401.9,-0.96
37.4,0.672,-399.8,-0.61
37.95,0.687,-399.9,-0.63
38.5,0.701,-399.1,-0.49
39.05,0.715,-401.9,-0.96
39.6,0.729,-404.8,-1.44
40.15,0.744,-401.6,-0.91
40.7,0.759,-396.7,-0.1
41.25,0.772,-397.1,-0.16
41.8,0.786,-394.2,0.32
42.35,0.799,-395.9,0.03
42.9,0.812,-392.7,0.56
43.45,0.825,-390.4,0.94
44,0.837,-389,1.17
44.55,0.849,-387,1.5
45.1,0.862,-402.3,-1.03
45.65,0.875,-392.5,0.59
46.2,0.889,-404.6,-1.41
46.75,0.903,-390.5,0.92
47.3,0.917,-402.3,-1.03
47.85,0.932,-400.1,-0.67
48.4,0.947,-399.4,-0.55
48.95,0.961,-400.6,-0.75
49.5,0.976,-393.8,0.38
50.05,0.99,-398.5,-0.4
50.6,1.005,-398.7,-0.44
51.15,1.019,-401.8,-0.95
51.7,1.032,-395.2,0.14
52.25,1.047,-390.1,0.99
52.8,1.061,-393.9,0.36
53.35,1.075,-400.6,-0.75
53.9,1.089,-400.9,-0.8
54.45,1.104,-391.7,0.72
55,1.118,-399.3,-0.54
55.55,1.133,-386.7,1.55
56.1,1.147,-401.5,-0.9
56.65,1.161,-398.1,-0.34
57.2,1.174,-390.4,0.93
