/* DATA DESCRIPTION:
Citation:	Ho, Sze Ling; Mollenhauer, Gesine; Lamy, Frank; Martínez‐García, Alfredo; Mohtadi, Mahyar; Gersonde, Rainer; Hebbeln, Dierk; Nunez-Ricardo, Samuel; Rosell-Melé, Antoni; Tiedemann, Ralf (2012): Alkenone indices, sea surface temperature estimates and foraminiferal δ¹⁸O of sediment core GeoB3327-5 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.792638, 
	In supplement to: Ho, SL et al. (2012): Sea surface temperature variability in the Pacific sector of the Southern Ocean over the past 700 kyr. Paleoceanography, 27, PA4202, https://doi.org/10.1029/2012PA002317
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -43.240000 * LONGITUDE: -79.991667
	DATE/TIME START: 1995-05-18T00:00:00 * DATE/TIME END: 1995-05-18T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.03 m * MAXIMUM DEPTH, sediment/rock: 8.98 m
Event(s):	GeoB3327-5 * LATITUDE: -43.240000 * LONGITUDE: -79.991667 * DATE/TIME: 1995-05-18T00:00:00 * ELEVATION: -3531.0 m * Recovery: 9 m * LOCATION: South-East Pacific * CAMPAIGN: SO102/1 (CHIPAL) (URI: urn:nbn:de:gbv:46-ep000102011) * BASIS: Sonne (URI: https://en.wikipedia.org/wiki/RV_Sonne) * METHOD/DEVICE: Gravity corer (Kiel type) (SL)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Alkenone, unsaturation index UK37 (UK37) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Gas chromatography
	Alkenone, unsaturation index UK'37 (UK'37) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Gas chromatography
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Calculated from UK37 (Prahl et al., 1988) (URI: https://doi.org/10.1016/0016-7037(88)90132-9)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Calculated from UK'37 (Prahl et al., 1988) (URI: https://doi.org/10.1016/0016-7037(88)90132-9)
	Cibicides spp., δ18O [‰ PDB] (Cibicides spp. δ18O) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251 * COMMENT: >212 µm size-fraction
	Neogloboquadrina pachyderma dextral, δ18O [‰ PDB] (N. pachyderma d δ18O) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251 * COMMENT: >150 µm size-fraction
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	991 data points
*/
Depth sed [m]	Age [ka BP]	UK37 (Gas chromatography)	UK'37 (Gas chromatography)	SST (1-12) [°C] (Calculated from UK37 (Prahl e...)	SST (1-12) [°C] (Calculated from UK'37 (Prahl ...)	Cibicides spp. δ18O [‰ PDB] (>212 µm size-fraction, Mass s...)	N. pachyderma d δ18O [‰ PDB] (>150 µm size-fraction, Mass s...)
0.03	7.286	0.500	0.524	15.10	14.28	3.43	1.46
0.08	9.429	0.527	0.527	15.78	14.36	3.78	1.33
0.13	11.571	0.473	0.473	14.41	12.75	3.61	
0.18	13.714	0.404	0.404	12.71	10.74	4.50	
0.23	15.857	0.386	0.386	12.25	10.20	4.54	2.41
0.28	18.000	0.365	0.365	11.73	9.60	4.67	2.54
0.33	20.143	0.378	0.378	12.06	9.98	4.41	2.24
0.38	22.286	0.387	0.387	12.28	10.24	4.29	1.89
0.43	24.429	0.376	0.376	11.99	9.90	4.51	
0.48	26.571	0.338	0.383	11.05	10.13	4.53	2.28
0.53	28.714	0.364	0.364	11.69	9.55	4.38	
0.58	30.857	0.295	0.322	9.98	8.31	4.38	
0.63	33.000	0.308	0.351	10.30	9.19	4.25	
0.68	35.143	0.284	0.311	9.69	8.01	4.24	
0.73	37.286	0.266	0.288	9.26	7.31	4.23	
0.78	39.429	0.255	0.279	8.97	7.05	4.25	2.18
0.83	41.571	0.249	0.277	8.81	6.99	4.17	2.73
0.88	43.714	0.267	0.293	9.27	7.48	4.16	2.69
0.93	45.857	0.219	0.258	8.08	6.44	4.15	2.69
0.98	48.000	0.263	0.300	9.17	7.67	4.19	2.54
1.03	50.143	0.321	0.351	10.64	9.19	4.05	2.65
1.08	52.286	0.285	0.342	9.72	8.90	4.16	2.66
1.13	54.429	0.313	0.383	10.43	10.12	4.10	2.76
1.18	56.571	0.312	0.354	10.40	9.28	4.15	2.70
1.23	58.714	0.311	0.352	10.36	9.20	4.18	2.78
1.28	60.857	0.312	0.370	10.41	9.74	4.20	2.48
1.33	63.000	0.305	0.363	10.21	9.52	4.25	2.85
1.38	66.842	0.277	0.329	9.51	8.52	4.21	2.67
1.43	70.684	0.274	0.343	9.46	8.94	4.01	2.40
1.48	74.526	0.358	0.358	11.55	9.39	3.78	2.24
1.53	78.368					3.78	2.19
1.58	82.211	0.328	0.365	10.79	9.57	3.68	2.24
1.63	86.053	0.360	0.396	11.61	10.51	3.56	2.01
1.68	89.895	0.411	0.411	12.88	10.95	3.71	
1.73	93.737	0.344	0.344	11.19	8.96	3.75	1.75
1.78	97.579	0.310	0.350	10.36	9.16	3.77	
1.83	101.421					3.57	1.69
1.88	105.263	0.405	0.405	12.71	10.75	3.46	1.42
1.93	109.105	0.399	0.399	12.57	10.58	3.48	1.51
1.98	112.947	0.410	0.410	12.85	10.91	3.25	1.57
2.03	116.789	0.452	0.452	13.91	12.16	3.26	1.58
2.08	120.632	0.438	0.438	13.55	11.73		1.39
2.13	124.474	0.439	0.494	13.58	13.40	2.95	1.33
2.18	128.316	0.533	0.533	15.92	14.53	3.05	1.08
2.23	132.158	0.479	0.479	14.57	12.93	3.49	1.41
2.28	136.000	0.512	0.512	15.40	13.92	4.44	1.61
2.33	139.063	0.414	0.414	12.94	11.02	4.25	1.71
2.38	142.125					4.49	2.22
2.43	145.188	0.259	0.387	9.07	10.24	4.37	1.79
2.48	148.250	0.337	0.530	11.04	14.43	4.40	2.61
2.53	151.313	0.372	0.372	11.90	9.80	4.42	2.75
2.58	154.375	0.299	0.414	10.07	11.04	4.30	2.38
2.63	157.438	0.402	0.474	12.64	12.78	4.46	2.53
2.68	160.500					4.26	2.68
2.73	163.563	0.266	0.390	9.26	10.33	4.32	3.01
2.78	166.625					4.23	2.87
2.83	169.688	0.281	0.363	9.62	9.54	4.16	2.73
2.88	172.750	0.215	0.368	7.98	9.67	4.15	2.78
2.93	175.813	0.272	0.372	9.40	9.79	4.11	2.56
2.98	178.875	0.360	0.421	11.59	11.25	4.10	2.71
3.03	181.938	0.362	0.362	11.66	9.51	4.11	2.60
3.08	185.000	0.398	0.398	12.54	10.55	4.18	2.18
3.13	187.143	0.445	0.445	13.73	11.94	4.10	
3.18	189.286	0.320	0.406	10.60	10.78	4.11	2.34
3.23	191.429	0.422	0.422	13.14	11.25	4.02	2.64
3.28	193.571	0.382	0.429	12.15	11.46	3.90	2.67
3.33	195.714	0.351	0.387	11.36	10.24	3.70	2.22
