/* DATA DESCRIPTION:
Citation:	Ho, Sze Ling; Mollenhauer, Gesine; Lamy, Frank; Martínez‐García, Alfredo; Mohtadi, Mahyar; Gersonde, Rainer; Hebbeln, Dierk; Nunez-Ricardo, Samuel; Rosell-Melé, Antoni; Tiedemann, Ralf (2012): Alkenone indices, sea surface temperature estimates of sediment core PS75/034-2 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.792639, 
	In supplement to: Ho, SL et al. (2012): Sea surface temperature variability in the Pacific sector of the Southern Ocean over the past 700 kyr. Paleoceanography, 27, PA4202, https://doi.org/10.1029/2012PA002317
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -54.368670 * LONGITUDE: -80.090000
	DATE/TIME START: 2009-11-29T20:23:00 * DATE/TIME END: 2009-11-29T20:23:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 18.00 m
Event(s):	PS75/034-2 * LATITUDE: -54.368670 * LONGITUDE: -80.090000 * DATE/TIME: 2009-11-29T20:23:00 * ELEVATION: -4436.0 m * Recovery: 18.08 m * LOCATION: South Pacific Ocean * CAMPAIGN: ANT-XXVI/2 (PS75 BIPOMAC) (URI: https://doi.org/10.2312/BzPM_0632_2011) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (BGR type) (KL) * COMMENT: TC 0.92m, liner imploded (10-15m), D1-D3 (16-18) ca. 2 cm compaction due to water release
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Alkenone, unsaturation index UK37 (UK37) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Gas chromatography
	Alkenone, unsaturation index UK'37 (UK'37) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Gas chromatography
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Calculated from UK37 (Prahl et al., 1988) (URI: https://doi.org/10.1016/0016-7037(88)90132-9)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Ho, Sze Ling (https://orcid.org/0000-0002-4898-9036, slingho@ntu.edu.tw, https://www.awi.de/en/about-us/organisation/staff/single-view/sze-ling-ho.html) * METHOD/DEVICE: Calculated from UK'37 (Prahl et al., 1988) (URI: https://doi.org/10.1016/0016-7037(88)90132-9)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	704 data points
*/
Depth sed [m]	Age [ka BP]	UK37 (Gas chromatography)	UK'37 (Gas chromatography)	SST (1-12) [°C] (Calculated from UK37 (Prahl e...)	SST (1-12) [°C] (Calculated from UK'37 (Prahl ...)
0.00	5.020	0.246	0.246	8.76	6.10
0.10	7.870	0.224	0.224	8.19	5.43
0.20	10.720	0.246	0.246	8.74	6.08
0.45	18.130	-0.023	0.117	2.02	2.31
0.55	22.200	-0.043	0.136	1.52	2.85
0.75	30.350	-0.090	0.124	0.35	2.49
0.85	34.430	0.059	0.165	4.07	3.71
0.95	38.510	0.064	0.206	4.21	4.91
1.05	42.580	0.001	0.203	2.61	4.83
1.15	46.660	0.090	0.221	4.86	5.35
1.25	50.740	0.107	0.185	5.28	4.30
1.35	54.810	0.090	0.197	4.84	4.64
1.45	58.890	0.030	0.165	3.36	3.71
1.55	62.970	0.061	0.192	4.13	4.49
1.65	67.040	0.008	0.175	2.80	3.99
1.75	74.190	0.046	0.161	3.75	3.59
1.85	81.360	0.085	0.129	4.71	2.64
1.95	88.530	0.101	0.155	5.13	3.41
2.05	95.700	0.127	0.153	5.78	3.35
2.15	102.870	0.140	0.157	6.11	3.47
2.20	106.450	0.161	0.181	6.61	4.18
2.25	109.780	0.134	0.168	5.95	3.81
2.30	111.590	0.186	0.219	7.24	5.28
2.35	113.390	0.224	0.292	8.19	7.43
2.40	115.200	0.307	0.329	10.28	8.54
2.45	117.000	0.264	0.287	9.21	7.30
2.50	118.800	0.286	0.286	9.76	7.28
2.55	120.610	0.284	0.317	9.70	8.17
2.60	122.410	0.305	0.328	10.22	8.49
2.65	124.220	0.268	0.335	9.30	8.70
2.70	126.020	0.188	0.263	7.29	6.59
2.75	127.830	0.211	0.256	7.88	6.39
2.80	129.630	0.173	0.256	6.92	6.40
2.85	131.430	0.236	0.236	8.51	5.81
2.90	133.240	0.216	0.216	8.01	5.22
2.95	135.000	0.067	0.250	4.28	6.21
3.00	136.410	-0.003	0.230	2.54	5.62
3.05	137.820	0.038	0.245	3.56	6.06
3.10	139.230	0.000	0.215	2.60	5.18
3.20	142.060	-0.018	0.216	2.15	5.21
3.30	144.880	0.006	0.229	2.76	5.60
3.40	147.700	0.031	0.254	3.39	6.32
3.50	150.520	-0.028	0.220	1.91	5.32
3.70	156.160	-0.022	0.196	2.04	4.63
3.80	158.980	-0.021	0.192	2.07	4.50
3.90	161.800	-0.018	0.205	2.16	4.88
4.00	164.620	-0.038	0.185	1.64	4.30
4.10	167.450	-0.092	0.153	0.30	3.34
4.20	170.270	-0.071	0.158	0.83	3.50
4.30	173.090	-0.070	0.192	0.86	4.49
4.40	175.910	-0.046	0.184	1.45	4.27
4.50	178.730	0.026	0.224	3.25	5.43
4.60	181.550	-0.003	0.210	2.53	5.02
4.70	184.370	0.033	0.224	3.42	5.43
4.80	187.190	0.027	0.210	3.28	5.03
4.90	190.010	0.048	0.205	3.80	4.89
5.00	192.840	0.041	0.188	3.62	4.39
5.10	195.800	0.092	0.203	4.90	4.83
5.20	200.270	0.154	0.255	6.44	6.35
5.30	204.750	0.074	0.244	4.46	6.04
5.40	209.220	0.187	0.284	7.28	7.22
5.50	213.700	0.199	0.276	7.57	6.97
5.60	218.170	0.172	0.237	6.90	5.82
5.70	222.650	0.134	0.236	5.96	5.80
5.80	226.600	0.171	0.239	6.88	5.90
5.90	230.480	0.155	0.231	6.48	5.64
6.10	238.220	0.242	0.277	8.66	6.99
6.20	242.100	0.152	0.235	6.40	5.76
