Latitude,Longitude,SST
-78.375,-163.875,-1.652
-78.375,-163.625,-1.649
-78.125,-168.875,-1.341
-78.125,-168.375,-1.324
-78.125,-167.875,-1.368
-78.125,-167.625,-1.339
-78.125,-167.375,-1.356
-78.125,-167.125,-1.516
-78.125,-166.875,-1.403
-78.125,-166.625,-1.399
-78.125,-166.375,-1.47
-78.125,-166.125,-1.561
-78.125,-165.875,-1.532
-78.125,-165.625,-1.571
-78.125,-165.375,-1.571
-78.125,-165.125,-1.562
-78.125,-164.875,-1.571
-78.125,-164.625,-1.587
-78.125,-164.375,-1.6
-78.125,-164.125,-1.603
-78.125,-163.875,-1.62
-78.125,-163.625,-1.645
-78.125,-163.375,-1.645
-78.125,-163.125,-1.626
-78.125,-162.875,-1.662
-78.125,-162.625,-1.668
-78.125,-162.375,-1.672
-78.125,-162.125,-1.676
-78.125,-161.875,-1.678
-78.125,-161.625,-1.682
-78.125,-161.375,-1.682
-78.125,-43.875,-1.711
-78.125,-43.625,-1.712
-78.125,-43.375,-1.541
-78.125,-43.125,-1.704
-78.125,-42.875,-1.495
-78.125,-42.625,-1.593
-78.125,-42.375,-1.612
-78.125,-42.125,-1.504
-78.125,-41.875,-1.694
-78.125,-41.625,-1.495
-78.125,-41.375,-1.614
-78.125,-41.125,-1.643
-78.125,-40.875,-1.555
-78.125,-40.625,-1.519
-78.125,-40.375,-1.52
-78.125,-40.125,-1.34
-78.125,-39.875,-1.379
-78.125,-39.625,-1.582
-78.125,-39.375,-1.466
-78.125,-39.125,-1.367
-78.125,-38.875,-1.432
-78.125,-38.625,-1.573
-78.125,-38.375,-1.261
-78.125,-38.125,-1.231
-78.125,-37.875,-1.433
-78.125,-37.625,-0.9
-78.125,-37.375,-1.373
-78.125,-37.125,-1.483
-78.125,-36.875,-1.296
-78.125,-36.625,-1.46
-77.875,-179.375,-1.594
-77.875,-178.875,-1.576
-77.875,-178.625,-1.525
-77.875,-178.375,-1.524
-77.875,-178.125,-1.53
-77.875,-177.875,-1.502
-77.875,-177.625,-1.523
-77.875,-177.375,-1.47
-77.875,-177.125,-1.474
-77.875,-176.875,-1.545
