# Global Ocean Last Interglacial Sea Surface Temperature Reconstructions
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26851 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/reconstructions/turney2021/turney2021lig-sst-djf.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#
# Dataset DOI: 
#
# Parameter_Keywords: sea surface temperature
#--------------------
# Contribution_Date
#	Date: 2019-07-03
#--------------------
# File_Last_Modified_Date
#	Date: 2020-10-27 
#--------------------
# Title
# 	Study_Name: Global Ocean Last Interglacial Sea Surface Temperature Reconstructions
#--------------------
# Investigators
#	Investigators: Turney, C.S.M; Jones, R.T.; McKay, N.P.; van Sebille, E.; Thomas, Z.A.; Hillenbrand, C.-D.; Fogwill, C.J.
#--------------------
# Description_Notes_and_Keywords
#	Description: Compilation of published sea surface temperature reconstructions for the Last Interglacial 
#	interval (LIG; ~129,000-116,000 years before present). 
#	Version: 14 October 2020 (replaces 11 December 2019 and 3 July 2019 versions)
#	Reconstructions of Last Interglacial annual (189 sites), December-January-February (DJF; 99 sites), 
#	and June-July-August (JJA; 92 sites) SST's, plus maximum annual SST estimates during the early LIG 
#	(129-124 ka; 189 sites), and comparison of annual SST estimates for the early LIG (129-124 ka)  
#	with late Marine Isotope Stage 6 (140-135 kyr) (54 sites). 
#	For the DJF estimates, we have assumed a thermal equator of 5 degrees North, 
#	where sites above this latitude 'Summer' = JJA, and 'Winter' = DJF
#	Sites south of this line have 'Summer' (warmer temps) = DJF and 'Winter' (cooler temps) = JJA
# 
#	Notes: ***Drift correction has not been applied to the two coral sites  
#	***Drift correction could not be applied to four sites in a land box when located using OFES.
#
# 						
# Sheet 1. Early and average LIG annual sea surface temperatures (global and latitudinal averages) and thermal expansion contribution to Global Mean Sea Level 						
# 						
# Early max annual SSTs, C 	Global Average SST	Tropics (-23.5 to 23.5)	North of 45N	South of 45S	North of 50N	South of 50S
# Uncorrected	0.9	0.1	3.2	1.5	3.8	3.7
# 30-day drift	0.9	0.1	2.8	2.1	3.2	3.7
# Uncertainty (1sd)	0.1	0.2	0.4	0.3	0.4	1.1
# 						
# Annual SSTs, C 	Global Average SST	Tropics (-23.5 to 23.5)	North of 45N	South of 45S	North of 50N	South of 50S
# Uncorrected	0.2	-0.3	2.0	0.2	2.8	2.7
# 30-day drift	0.2	-0.3	1.5	0.8	2.3	2.7
# Uncertainty (1sd)	0.1	0.2	0.4	0.3	0.4	1.1
# 						
# Ocean thermal expansion, m	Max annual SST, early LIG	Mean annual SST				
# Uncorrected	0.36	0.05				
# 30-day drift	0.39	0.08				
# Uncertainty (1sd)	0.10	0.10				
# 
#--------------------
# Publication 
#	Authors: Chris S.M. Turney, Richard T. Jones, Nicholas P. McKay, Erik van Sebille, Zoë A. Thomas, Claus-Dieter Hillenbrand, Christopher J. Fogwill
#	Published_Date_or_Year: 2021 in press     
#	Published_Title: A global mean sea-surface temperature dataset for the Last Interglacial (129-116 kyr) and contribution of thermal expansion to sea-level change
#	Journal_Name: Earth System Science Data 
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: A valuable analogue for assessing Earth's sensitivity to warming is the Last Interglacial (LIG; 129-116 kyr), when global temperatures (0-+2 C) and mean sea level (+6-11 m) were higher than today. The direct contribution of warmer conditions to global sea level (thermosteric) are uncertain. We report here a global network of LIG sea surface temperatures (SST) obtained from various published temperature proxies (e.g. faunal/floral assemblages, Mg/Ca ratios of calcareous plankton, alkenone UK'37). Each reconstruction is averaged across the LIG (anomalies relative to 1981-2010), corrected for ocean drift and with varying seasonality (189 annual, 99 December-February, and 92 June-August records). We summarise the current limitations of SST reconstructions for the LIG and the spatial temperature features of a naturally warmer world. Because of local d18O seawater changes, uncertainty in the age models of marine cores, and differences in sampling resolution and/or sedimentation rates, the reconstructions are restricted to mean conditions. To avoid bias towards individual LIG SSTs based on only a single (and potentially erroneous) measurement or a single interpolated data point, here we average across the entire LIG. To investigate the sensitivity of the reconstruction to high temperatures, we also report maximum values during the first 5 ka of the LIG (129-124 kyr). The global dataset provides a remarkably coherent pattern of higher SST increases at polar latitudes than in the tropics, with comparable estimates between different SST proxies. We report mean global annual SST anomalies of 0.2 ± 0.1 C and a maximum of 0.9 ± 0.2 C respectively. Using the reconstructed SSTs suggests a mean thermosteric sea level rise of 0.01 ± 0.1 m and a maximum of 0.13 ± 0.1 m respectively. The data provide an important natural baseline for a warmer world, constraining the contributions of Greenland and Antarctic ice sheets to global sea level during a geographically widespread expression of high sea level, and can be used to test the next inter-comparison of models for projecting future climate change.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Global Ocean 
#	Location: Global
#	Country:  
#	Northernmost_Latitude: 90
# 	Southernmost_Latitude: -80
# 	Easternmost_Longitude: 180
# 	Westernmost_Longitude: -180
# 	Elevation:  0 m
#------------------
# Data_Collection   
#	Collection_Name: Turney2021LIGSST
#	Earliest_Year: 129000
#	Most_Recent_Year: 116000
#	Time_Unit: Cal. Year BP
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
Site Name/Core	Latitude (decimal)	Longitude (decimal)	Method of temperature estimate	LIG DJF temp estimate	±1 sd	Number of datapoints contributing to SST estimate	30 days mean temp along trajectory minus mean temp at site	SST 1981-2010 DJF ('Modern')	DJF LIG - modern (no drift) 	±1 sd	DJF LIG - modern - 30-day drift	±1 sd	References
PS58/271-1	-61.24	-116.47	Diatoms (Transfer Function)	2.4	0.9	4	-0.4	3.4	-1.00	0.90	-0.56	0.90	Esper, O., & Gersonde, R. New tools for the reconstruction of Pleistocene Antarctic sea ice. Palaeogeography, Palaeoclimatology, Palaeoecology, 399, 260-283 (2014)
PS2603-3	-58.99	37.63	Diatoms (Transfer Function)	3.2	0.7	6	0.0	1.3	1.92	0.66	1.94	0.66	Bianchi, C. & Gersonde, R. The Southern Ocean surface between Marine Isotope Stages 6 and 5d: Shape and timing of climate changes. Palaeogeography, Palaeoclimatology, Palaeoecology 187, 151-177 (2002)
PS2305-6	-58.72	-33.04	Diatoms (Transfer Function)	0.4	0.7	6	-0.2	0.7	-0.30	0.66	-0.08	0.66	Bianchi, C. & Gersonde, R. The Southern Ocean surface between Marine Isotope Stages 6 and 5d: Shape and timing of climate changes. Palaeogeography, Palaeoclimatology, Palaeoecology 187, 151-177 (2002)
MD84-551	-55.00	73.28	Diatoms (Transfer Function)	5.2	1.0	11	-0.3	2.2	2.96	1.00	3.30	1.00	Pichon, J. J. et al. Surface water temperature changes in the high latitudes of the southern hemisphere over the Last Glacial-Interglacial Cycle. Paleoceanography 7, 289-318 (1992).
PS2276-4	-54.64	-23.95	Diatoms (Transfer Function)	2.4	0.7	7	-0.4	2.3	0.10	0.66	0.53	0.66	Bianchi, C. & Gersonde, R. The Southern Ocean surface between Marine Isotope Stages 6 and 5d: Shape and timing of climate changes. Palaeogeography, Palaeoclimatology, Palaeoecology 187, 151-177 (2002)
V18-68	-54.55	-77.85	Radiolaria   Assemblage  (Transfer Function)	8.7	1.4	3	0.3	8.1	0.56	1.40	0.25	1.40	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
ODP 177 Site 1094	-53.18	5.13	Diatoms (Transfer Function)	2.2	0.7	25	-0.6	1.7	0.55	0.66	1.15	0.66	Bianchi, C. & Gersonde, R. The Southern Ocean surface between Marine Isotope Stages 6 and 5d: Shape and timing of climate changes. Palaeogeography, Palaeoclimatology, Palaeoecology 187, 151-177 (2002)
PS2102-2	-53.07	-4.99	Diatoms (Transfer Function)	2.8	0.7	12	-0.3	1.8	0.95	0.66	1.27	0.66	Bianchi, C. & Gersonde, R. The Southern Ocean surface between Marine Isotope Stages 6 and 5d: Shape and timing of climate changes. Palaeogeography, Palaeoclimatology, Palaeoecology 187, 151-177 (2002)
PS1768-8	-52.59	4.48	Diatoms (Transfer Function)	2.9	0.9	3	-0.5	2.2	0.72	0.90	1.17	0.90	Esper, O., & Gersonde, R. New tools for the reconstruction of Pleistocene Antarctic sea ice. Palaeogeography, Palaeoclimatology, Palaeoecology, 399, 260-283 (2014)
PS1778-5	-49.00	-12.70	Radiolaria   Assemblage  (Transfer Function)	5.4	1.2	3	-0.3	5.8	-0.38	1.20	-0.04	1.20	Brathauer, U. & Abelmann, A. Late Quaternary variations in sea surface temperatures and their relationship to orbital forcing recorded in the Southern Ocean (Atlantic sector). Paleoceanography 14, 135-148 (1999)
E49-17 /ELT49.017-PC	-48.28	-90.25	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	9.5	2.2	4	-0.5	10.1	-0.61	2.20	-0.16	2.20	Howard, W. R. & Prell, W. L. Late Quaternary CaCO3 production and preservation in the Southern Ocean: Implications for oceanic and atmospheric carbon cycling. Paleoceanography 9, 453-482 (1994); Howard, W. R. & Prell, W. L. Late Quaternary surface circulation of the southern Indian Ocean and its relationship to orbital variations. Paleoceanography 7, 79-117 (1992).
PS1754-1	-46.77	7.61	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	4.9	1.2	4	-1.3	7.3	-2.42	1.20	-1.16	1.20	Niebler, H. S. Reconstruction of paleo-environmental parameters using stable isotopes and faunal assemblages of planktonic foraminifera in the South Atlantic Ocean. Ber. Polarforschung 167, 1-198 (1995)
E49-18	-46.05	-90.17	 Planktonic Foraminifera Assemblage  (Transfer Function)	11.0	1.4	4	-0.6	11.8	-0.81	1.40	-0.17	1.40	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
PS1752-1	-45.62	9.60	Radiolaria   Assemblage  (Transfer Function)	6.1	1.2	3	-1.1	8.3	-2.25	1.20	-1.14	1.20	Brathauer, U. Rekonstruktion quartärer Klimaänderungen im atlantischen Sektor des Su¨dpolarmeeres anhand von Radiolarien= Radiolarians as indicators for Quaternary climatic changes in the Southern Ocean (Atlantic sector), Universität Bremen, (1996).
E45-29	-44.88	-106.52	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	9.4	1.9	3	-0.7	12.5	-3.07	1.90	-2.36	1.90	Howard, W. R. & Prell, W. L. Late Quaternary CaCO3 production and preservation in the Southern Ocean: Implications for oceanic and atmospheric carbon cycling. Paleoceanography 9, 453-482 (1994); Howard, W. R. & Prell, W. L. Late Quaternary surface circulation of the southern Indian Ocean and its relationship to orbital variations. Paleoceanography 7, 79-117 (1992).
RC11-120	-43.87	80.45	 Planktonic Foraminifera Assemblage  (Transfer Function)	13.0	1.5	4	-1.3	11.9	1.05	1.50	2.37	1.50	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
MD84-527	-43.82	51.32	Diatoms (Transfer Function)	7.4	1.0	7	-1.7	10.0	-2.69	1.00	-0.97	1.00	Pichon, J. J. et al. Surface water temperature changes in the high latitudes of the southern hemisphere over the Last Glacial-Interglacial Cycle. Paleoceanography 7, 289-318 (1992).
MD73-025	-43.82	50.32	Radiolaria   Assemblage  (Transfer Function)	6.5	1.4	13	-1.9	9.8	-3.35	1.40	-1.44	1.40	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
