# Global Ocean Last Interglacial Sea Surface Temperature Reconstructions
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26851 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/reconstructions/turney2021/turney2021lig-sst-jja.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#
# Dataset DOI: 
#
# Parameter_Keywords: sea surface temperature
#--------------------
# Contribution_Date
#	Date: 2019-07-03
#--------------------
# File_Last_Modified_Date
#	Date: 2020-10-27 
#--------------------
# Title
# 	Study_Name: Global Ocean Last Interglacial Sea Surface Temperature Reconstructions
#--------------------
# Investigators
#	Investigators: Turney, C.S.M; Jones, R.T.; McKay, N.P.; van Sebille, E.; Thomas, Z.A.; Hillenbrand, C.-D.; Fogwill, C.J.
#--------------------
# Description_Notes_and_Keywords
#	Description: Compilation of published sea surface temperature reconstructions for the Last Interglacial 
#	interval (LIG; ~129,000-116,000 years before present). 
#	Version: 14 October 2020 (replaces 11 December 2019 and 3 July 2019 versions)
#	Reconstructions of Last Interglacial annual (189 sites), December-January-February (DJF; 99 sites), 
#	and June-July-August (JJA; 92 sites) SST's, plus maximum annual SST estimates during the early LIG 
#	(129-124 ka; 189 sites), and comparison of annual SST estimates for the early LIG (129-124 ka)  
#	with late Marine Isotope Stage 6 (140-135 kyr) (54 sites). 
#	For the DJF estimates, we have assumed a thermal equator of 5 degrees North, 
#	where sites above this latitude 'Summer' = JJA, and 'Winter' = DJF
#	Sites south of this line have 'Summer' (warmer temps) = DJF and 'Winter' (cooler temps) = JJA
# 
#	Notes: ***Drift correction has not been applied to the two coral sites  
#	***Drift correction could not be applied to four sites in a land box when located using OFES.
#
# 						
# Sheet 1. Early and average LIG annual sea surface temperatures (global and latitudinal averages) and thermal expansion contribution to Global Mean Sea Level 						
# 						
# Early max annual SSTs, C 	Global Average SST	Tropics (-23.5 to 23.5)	North of 45N	South of 45S	North of 50N	South of 50S
# Uncorrected	0.9	0.1	3.2	1.5	3.8	3.7
# 30-day drift	0.9	0.1	2.8	2.1	3.2	3.7
# Uncertainty (1sd)	0.1	0.2	0.4	0.3	0.4	1.1
# 						
# Annual SSTs, C 	Global Average SST	Tropics (-23.5 to 23.5)	North of 45N	South of 45S	North of 50N	South of 50S
# Uncorrected	0.2	-0.3	2.0	0.2	2.8	2.7
# 30-day drift	0.2	-0.3	1.5	0.8	2.3	2.7
# Uncertainty (1sd)	0.1	0.2	0.4	0.3	0.4	1.1
# 						
# Ocean thermal expansion, m	Max annual SST, early LIG	Mean annual SST				
# Uncorrected	0.36	0.05				
# 30-day drift	0.39	0.08				
# Uncertainty (1sd)	0.10	0.10				
# 
#--------------------
# Publication 
#	Authors: Chris S.M. Turney, Richard T. Jones, Nicholas P. McKay, Erik van Sebille, Zoë A. Thomas, Claus-Dieter Hillenbrand, Christopher J. Fogwill
#	Published_Date_or_Year: 2021 in press     
#	Published_Title: A global mean sea-surface temperature dataset for the Last Interglacial (129-116 kyr) and contribution of thermal expansion to sea-level change
#	Journal_Name: Earth System Science Data 
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: A valuable analogue for assessing Earth's sensitivity to warming is the Last Interglacial (LIG; 129-116 kyr), when global temperatures (0-+2 C) and mean sea level (+6-11 m) were higher than today. The direct contribution of warmer conditions to global sea level (thermosteric) are uncertain. We report here a global network of LIG sea surface temperatures (SST) obtained from various published temperature proxies (e.g. faunal/floral assemblages, Mg/Ca ratios of calcareous plankton, alkenone UK'37). Each reconstruction is averaged across the LIG (anomalies relative to 1981-2010), corrected for ocean drift and with varying seasonality (189 annual, 99 December-February, and 92 June-August records). We summarise the current limitations of SST reconstructions for the LIG and the spatial temperature features of a naturally warmer world. Because of local d18O seawater changes, uncertainty in the age models of marine cores, and differences in sampling resolution and/or sedimentation rates, the reconstructions are restricted to mean conditions. To avoid bias towards individual LIG SSTs based on only a single (and potentially erroneous) measurement or a single interpolated data point, here we average across the entire LIG. To investigate the sensitivity of the reconstruction to high temperatures, we also report maximum values during the first 5 ka of the LIG (129-124 kyr). The global dataset provides a remarkably coherent pattern of higher SST increases at polar latitudes than in the tropics, with comparable estimates between different SST proxies. We report mean global annual SST anomalies of 0.2 ± 0.1 C and a maximum of 0.9 ± 0.2 C respectively. Using the reconstructed SSTs suggests a mean thermosteric sea level rise of 0.01 ± 0.1 m and a maximum of 0.13 ± 0.1 m respectively. The data provide an important natural baseline for a warmer world, constraining the contributions of Greenland and Antarctic ice sheets to global sea level during a geographically widespread expression of high sea level, and can be used to test the next inter-comparison of models for projecting future climate change.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Global Ocean 
#	Location: Global
#	Country:  
#	Northernmost_Latitude: 90
# 	Southernmost_Latitude: -80
# 	Easternmost_Longitude: 180
# 	Westernmost_Longitude: -180
# 	Elevation:  0 m
#------------------
# Data_Collection   
#	Collection_Name: Turney2021LIGSST
#	Earliest_Year: 129000
#	Most_Recent_Year: 116000
#	Time_Unit: Cal. Year BP
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
Site Name/Core	Latitude (decimal)	Longitude  (decimal)	Method of temperature estimate	LIG JJA temp estimate	±1 sd	Number of datapoints contributing to SST estimate	30 days mean temp along trajectory minus mean temp at site	SST 1981-2010 JJA ('Modern')	JJA LIG - modern (no drift) 	±1 sd	JJA LIG - modern - 30-day drift	±1 sd	References
V18-68	-54.55	-77.85	Radiolaria   Assemblage  (Transfer Function)	6.5	1.1	3	0.3	6.4	0.11	1.10	-0.20	1.10	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
E49-17 /ELT49.017-PC	-48.28	-90.25	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	7.0	1.5	4	-0.5	7.7	-0.72	1.50	-0.27	1.50	Howard, W. R. & Prell, W. L. Late Quaternary CaCO3 production and preservation in the Southern Ocean: Implications for oceanic and atmospheric carbon cycling. Paleoceanography 9, 453-482 (1994); Howard, W. R. & Prell, W. L. Late Quaternary surface circulation of the southern Indian Ocean and its relationship to orbital variations. Paleoceanography 7, 79-117 (1992).
PS1754-1	-46.77	7.61	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	3.2	1.2	4	-1.3	5.8	-2.63	1.20	-1.37	1.20	Niebler, H. S. Reconstruction of paleo-environmental parameters using stable isotopes and faunal assemblages of planktonic foraminifera in the South Atlantic Ocean. Ber. Polarforschung 167, 1-198 (1995)
E49-18	-46.05	-90.17	 Planktonic Foraminifera Assemblage  (Transfer Function)	8.3	1.1	4	-0.6	9.2	-0.89	1.10	-0.25	1.10	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
E45-29	-44.88	-106.52	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	7.4	1.6	3	-0.7	9.7	-2.28	1.60	-1.57	1.60	Howard, W. R. & Prell, W. L. Late Quaternary CaCO3 production and preservation in the Southern Ocean: Implications for oceanic and atmospheric carbon cycling. Paleoceanography 9, 453-482 (1994); Howard, W. R. & Prell, W. L. Late Quaternary surface circulation of the southern Indian Ocean and its relationship to orbital variations. Paleoceanography 7, 79-117 (1992).
RC11-120	-43.87	80.45	 Planktonic Foraminifera Assemblage  (Transfer Function)	8.2	1.5	4	-1.3	10.7	-2.47	1.50	-1.15	1.50	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
MD73-025	-43.82	50.32	Radiolaria   Assemblage  (Transfer Function)	4.7	1.1	13	-1.9	7.6	-2.93	1.10	-1.02	1.10	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
V22-108	-43.18	-3.25	Radiolaria   Assemblage  (Transfer Function)	8.8	1.1	10	-0.9	8.9	-0.10	1.10	0.81	1.10	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
RC8-39	-42.88	42.35	 Planktonic Foraminifera Assemblage  (Transfer Function)	8.5	1.3	16	-0.3	10.0	-1.55	1.30	-1.27	1.30	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
PS2076-1/3	-41.15	13.47	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	13.5	1.0	3	-0.3	12.5	0.97	1.00	1.26	1.00	Niebler, H. S. Reconstruction of paleo-environmental parameters using stable isotopes and faunal assemblages of planktonic foraminifera in the South Atlantic Ocean. Ber. Polarforschung 167, 1-198 (1995)
RC15-61	-40.62	-77.20	Radiolaria   Assemblage  (Transfer Function)	4.8	2.4	3	-0.3	12.1	-7.28	2.40	-6.97	2.40	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
RC12-294	-37.27	-10.10	 Planktonic Foraminifera Assemblage  (Transfer Function)	13.9	2.0	17	-0.8	13.8	0.10	2.00	0.89	2.00	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
RC11-86	-35.78	18.45	 Planktonic Foraminifera Assemblage  (Transfer Function)	15.0	1.4	9	0.6	16.8	-1.79	1.40	-2.34	1.40	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
GeoB 1312	-32.00	-30.00	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	18.1	0.5	11	-0.4	18.6	-0.55	0.50	-0.16	0.50	Hale, W. & Pflaumann, U. in Use of Proxies in Paleoceanography 69-90, Springer (1999)
GeoB 1309 	-32.00	-29.00	 Planktonic Foraminifera Assemblage  (Modern Analogue Technique)	17.7	0.1	6	-0.3	18.6	-0.90	0.10	-0.61	0.10	Hale, W. & Pflaumann, U. in Use of Proxies in Paleoceanography 69-90, Springer (1999)
RC17-69	-31.50	32.60	 Planktonic Foraminifera Assemblage  (Transfer Function)	20.9	1.3	6	0.3	21.4	-0.50	1.30	-0.83	1.30	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
MD96-2085	-29.70	12.93	 Planktonic Foraminifera Assemblage  (Transfer Function)	16.3	1.0	9	-0.6	17.2	-0.88	1.00	-0.32	1.00	Chen, M.-T. et al. Late Quaternary sea-surface temperature variations in the southeast Atlantic: a planktic foraminifer faunal record of the past 600 000 yr (IMAGES II MD962085). Marine Geology 180, 163-181 (2002)
RC13-229	-25.50	11.30	 Planktonic Foraminifera Assemblage  (Transfer Function)	15.8	1.4	9	-0.2	17.4	-1.56	1.40	-1.37	1.40	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
RC13-228	-22.33	11.20	Radiolaria   Assemblage  (Transfer Function)	18.9	2.0	12	-0.3	17.1	1.76	2.00	2.05	2.00	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
GL-77	-21.21	-40.05	Planktonic Foraminifera Assemblage (Artificial Neural Network)	24.5	1.0	8	-1.1	23.6	0.87	1.00	1.94	1.00	Petro, S. M., Pivel, M. A. G. & Coimbra, J. C. Paleoceanographic changes through the last 130 ka in the western South Atlantic based on planktonic foraminfera. Revista Brasileira de Paleontologia 19, 3-14 (2016).
V28-345	-17.67	117.95	 Planktonic Foraminifera Assemblage  (Transfer Function)	25.6	1.3	11	0.1	26.0	-0.39	1.30	-0.53	1.30	CLIMAP. The Last Interglacial ocean. Quaternary Research 21, 123-224 (1984)
